,Unnamed: 0.1,Unnamed: 0,DBRECORDID,TITLE,ABSTRACT,LANGUAGE,cosine_scores,Relevance_Point
0,0,1661968,M1500927,R & R fatigue.,,eng,1.0000000000000002,5
1,1,1209215,M1047215,Fatigue.,,eng,1.0000000000000002,5
2,2,1594135,M1433056,The measurement of fatigue and chronic fatigue syndrome.,,eng,0.878227198018811,5
3,3,1395317,M1234116,Fatigue fractures.,,eng,0.8626509301762756,5
4,4,1979981,M1819250,The trouble with chronic fatigue.,,eng,0.8616805105092465,5
5,5,267013,M84135,Postoperative fatigue.,,eng,0.8547571623982941,5
6,6,1919720,M1758789,Activity and post-polio fatigue.,Fatigue was studied in 12 subjects with post-polio sequelae (PPS). Results of the Fatigue Severity Scale (FSS) demonstrated a mean score of 4.8 +/- 1.6 (non-disabled scores = 2.3 +/- 0.7). The Human Activity Profile (HAP) was not sensitive enough to measure fatigue. Fifty percent of subjects scored below the first percentile based on age and sex matched norms. The Activity Record (ACTRE) results revealed that subjects spent 5% of their time resting and 1% in planning or preparation activities. Fatigue peaked in the late morning or early afternoon and was relieved by rest periods. Use of energy conservation and work simplification skills along with frequent rest periods was suggested as a possible method for managing PPS fatigue.,eng,0.8534171618465846,5
7,7,705156,M530021,Muscle fatigue.,,eng,0.8403198873115814,3
8,8,1837091,M1676129,Magnesium and chronic fatigue.,,eng,0.8375336010524047,5
9,9,1819015,M1658019,"Weakness, fatigue, and hyponatremia (x2).",,eng,0.8372666422658355,4
10,10,1950631,M1789874,Chronic fatigue controversy.,,eng,0.8328809843354904,5
11,11,125905,M28186393,Chronic fatigue in Ehlers-Danlos syndrome-Hypermobile type.,"Chronic fatigue is an important contributor to impaired health-related quality of life in Ehlers-Danlos syndrome. There is overlap in the symptoms and findings of EDS and chronic fatigue syndrome. A proportion of those with CFS likely have EDS that has not been identified. The evaluation of chronic fatigue in EDS needs to include a careful clinical examination and laboratory testing to exclude common causes of fatigue including anemia, hypothyroidisim, and chronic infection, as well as dysfunction of major physiological or organ systems. Other problems that commonly contribute to fatigue in EDS include sleep disorders, chronic pain, deconditioning, cardiovascular autonomic dysfunction, bowel and bladder dysfunction, psychological issues, and nutritional deficiencies. While there is no specific pharmacological treatment for fatigue, many medications are effective for specific symptoms (such as headache, menstrual dysfunction, or myalgia) and for co-morbid conditions that result in fatigue, including orthostatic intolerance and insomnia. Comprehensive treatment of fatigue needs to also evaluate for biomechanical problems that are common in EDS, and usually involves skilled physical therapy and attention to methods to prevent deconditioning. In addition to managing specific symptoms, treatment of fatigue in EDS also needs to focus on maintaining function and providing social, physical, and nutritional support, as well as providing on-going medical evaluation of new problems and review of new evidence about proposed treatments. © 2017 Wiley Periodicals, Inc.",eng,0.8290034613510392,5
12,12,1044749,M882496,The fatigue syndrome.,,eng,0.8285521991008881,5
13,13,1968068,M1807319,Chronic fatigue syndrome.,,eng,0.8138594940966004,5
14,14,1968067,M1807318,Chronic fatigue syndrome.,,eng,0.8138594940966004,5
15,15,1968066,M1807317,Chronic fatigue syndrome.,,eng,0.8138594940966004,5
16,16,1924932,M1764001,Chronic fatigue syndrome.,,eng,0.8138594940966004,5
17,17,1902764,M1741823,Chronic fatigue syndrome.,,eng,0.8138594940966004,5
18,18,1899774,M1738833,Chronic fatigue syndrome.,,eng,0.8138594940966004,5
19,19,1803630,M1642633,Chronic fatigue syndrome.,,eng,0.8138594940966004,5
20,20,917111,M742067,Leistungsbegrenzung durch Ermüdung der Atemmuskulatur bei bronchopulmonalen Erkrankungen.,,ger,0.6278736324775943,3
21,21,1707317,M1546280,Fatigue des muscles respiratoires.,"Respiratory muscle fatigue is induced experimentally by adding high external resistances to breathing. The role played by respiratory muscle fatigue in exercise limitation and in acute respiratory failure is still unclear. The electromyogram often reflects contractions beyond the fatigue threshold, but overt force failure has been only rarely demonstrated under these circumstances. Hypercapnic ventilatory failure may possibly not result from fatigue, but rather from an adaptation of the respiratory system for avoiding fatigue. The treatment of fatigue comprises respiratory muscle support by adequate nutrition and oxygen delivery, and if needed respiratory muscle rest by mechanical ventilation.",fre,0.6237698600913896,3
22,22,1280045,M1118700,"Activité du Th 1165a (hydroxyphénylorciprénaline) sur la fonction respiratoire de l'enfant atteint d'un syndrome asthmatique, dans l'intervalle entre les crises ou les épisodes de dyspnée",,fre,0.6107739924355859,1
23,23,212441,M28518,Surfactant und Respiratory Distress Syndrome.,,ger,0.6093664924064099,1
24,24,1915899,M1754968,"Müdigkeit, Ermüdbarkeit und Schwäche--ein häufiges Symptom.",,ger,0.6084332531974131,5
25,25,207589,M23580,Psychische Krankheit und Stress.,"Main purpose of my presentation was to give a review on the effects of the stress-factors on the psyche. This aspect has not been taken into consideration sufficiently yet in theory of stress. I like to stress once more that it is the excessive, too intensive stress reaction which is leading to psychic disturbances as well as functional disturbances. Stress which does not exceed a certain extent has to be considered physiologically: the organism needs it as stimulans to obtain its functions: it could not survive without this stimulans. The situation only becomes risky if the stress factors are causing pathogenous disturbances. This situation has been named ""dis-stress"" by Selye. The best guarantees to avoid ""dis-stress"" as well as psychic stress-disorders are changing of attitude of life, compensation of overstrain by sensible recreational activities, going in for sport, engagement for human and social environmental factors as well as a harmonic family-life and a conception of life in the sense of imperturbability and tolerance.",ger,0.6080605006139151,1
26,26,1874135,M1713188,Suppression der Monozyten-Makrophagen-Aktivierung durch anti-CD4-Therapie bei Patienten mit chronischer Polyarthritis.,"Monoclonal anti-CD4 antibodies have been introduced into the treatment of rheumatoid arthritis. A depletion of CD4+ T-cells down to 8% of the origin level (p less than 0.0001) followed the antibody application. Moreover, there was a significant reduction of blood monocytes to 30% (p less than 0.001). A reduced lymphocyte proliferation induced by antigens or mitogens was found in parallel. Prior to treatment, monocyte-macrophage activation in rheumatoid arthritis was signified by an increased expression of HLA-class II antigens and the CD14 antigen, and by an increased production of neopterin and interleukin-1. Anti-CD4 treatment resulted in a significant reduction of elevated levels of neopterin, beta 2-microglobulin in serum as well as IL-1 production in vitro.",ger,0.6071957220505859,2
27,27,1512753,M1351655,"Ermüdbarkeit, Müdigkeit und Schwäche.",,ger,0.6059326882712601,5
