,Unnamed: 0.1,Unnamed: 0,DBRECORDID,TITLE,ABSTRACT,LANGUAGE,cosine_scores,Relevance_Point
0,0,1211166,M1049169,Low sodium diet in heart disease: how low is low?,,eng,0.8004987510024419,3
1,1,1255488,M1093617,M. D. W. Low.,,eng,0.7660147038668237,1
2,2,1086247,M924029,Must low price mean low quality?,,eng,0.7642351554335455,1
3,3,63664,M28390682,How Low is Low Enough?,,eng,0.7547430430609788,1
4,4,1454534,M1293390,Carotenaemia with low vitamin A levels and low retinol-binding protein.,,eng,0.7517243797672818,3
5,5,1631633,M1470585,"Effects of low, normal, and high temperatures on slaughter yield of broilers from lines selected for high weight gain, favorable feed conversion, and high or low fat content.","Male and female broiler chicks from five different broiler crosses (WI = Israeli chicks selected for increased body weight; LF and HF = Israeli chicks selected for low and high abdominal fat, respectively; FC and WN = Dutch chicks selected for improved feed conversion and increased body weight, respectively) were raised at low, normal, or high temperature. Slaughter yield, amount of breast meat, and abdominal fat were determined at 6 wk of age in all groups and at a body weight of 2,360 g for males and 1,965 g for females in the low- and normal-temperature groups, and at 8 wk in the high-temperature groups. Temperature, genotype, and sex influenced both absolute and relative weights of carcass, breast meat, and abdominal fat. Temperature had a negative effect on breast meat yield. Males were affected more by high temperature than females. A significant interaction between temperature and sex for breast meat yield was caused by a low yield for males at the high temperature. A similar interaction for proportion of abdominal fat was caused by a high fat content in males reared at the high temperature. Slaughter yield and especially yield of breast meat were highest in FC chickens in all comparisons.",eng,0.7429341665224013,4
6,6,1791346,M1630342,Very low energy diets.,,eng,0.7378118499233383,5
7,7,296212,M113589,Comparison of two commercial low residue diets and a low residue diet of common foods.,,eng,0.7376784600682167,5
8,8,104772,M28295777,Can LDL cholesterol be too low? Possible risks of extremely low levels.,"Following the continuous accumulation of evidence supporting the beneficial role of reducing low-density lipoprotein cholesterol (LDL-C) levels in the treatment and prevention of atherosclerotic cardiovascular disease and its complications, therapeutic possibilities now exist to lower LDL-C to very low levels, similar to or even lower than those seen in newborns and nonhuman species. In addition to the important task of evaluating potential side effects of such treatments, the question arises whether extremely low LDL-C levels per se may provoke adverse effects in humans. In this review, we summarize information from studies of human cellular and organ physiology, phenotypic characterization of rare genetic diseases of lipid metabolism, and experience from clinical trials. Specifically, we emphasize the importance of the robustness of the regulatory systems that maintain balanced fluxes and levels of cholesterol at both cellular and organismal levels. Even at extremely low LDL-C levels, critical capacities of steroid hormone and bile acid production are preserved, and the presence of a cholesterol blood-brain barrier protects cells in the central nervous system. Apparent relationships sometimes reported between less pronounced low LDL-C levels and disease states such as cancer, depression, infectious disease and others can generally be explained as secondary phenomena. Drug-related side effects including an increased propensity for development of type 2 diabetes occur during statin treatment, whilst further evaluation of more potent LDL-lowering treatments such as PCSK9 inhibitors is needed. Experience from the recently reported and ongoing large event-driven trials are of great interest, and further evaluation including careful analysis of cognitive functions will be important.",eng,0.7362946627630602,2
9,9,551302,M375140,"Meals in Washington's day high in fat, low in flavor.",,eng,0.7348514714405732,4
