,Unnamed: 0.1,Unnamed: 0,DBRECORDID,TITLE,ABSTRACT,LANGUAGE,cosine_scores,Relevance_Point
0,0,1623133,M1462079,Epidémiologie de l'obésité.,,fre,0.9591228547974916,3
1,1,1457456,M1296312,Epidémiologie de l'asthme.,"Asthma epidemiology aims to provide answers to the following questions: what is the prevalence? what are the consequences? what are the risk factors of asthma? Questionnaires indicate that asthma prevalence averages 6 to 8% whereas assessment of bronchial reactivity reveals that approximately 15% of the population exhibit bronchial hyperesponsiveness; these figures have been increasing in many western countries. Asthma is an important cause of impairment in children physical development, school-related problems along with increased number and duration of hospitalizations. Asthma mortality averages 3/100,000 in France and is mainly focused on people more than 50 years old; its increase is very likely in some countries, but is still controversial in France. Environmental and socio-economic factors play a major role in the development of asthma and genetic factors are now under investigation. Although both understanding and drug treatment of asthma have dramatically improved in the recent past, no positive change has been observed so far in terms of morbidity and mortality. Nevertheless, knowledge of factors specific to France requires further investigations.",fre,0.9591228547974916,3
2,2,1936630,M1775701,Epidémiologie vétérinaire.,"The author describes the specifics of veterinary epidemiology, in particular its domain and objectives. The large diversity of data sources are partly limited by the lack of standardized nomenclature and registries in many animal species. Even if veterinary epidemiology benefits from methods developed in the last thirty years in human epidemiology, it differs from human epidemiology by: the broad spectrum of animal species and its differences in longevity, pathology and genetics, the extend of control measures available and their direct effect on the epidemiology of the diseases, the priority of cost efficacy of disease control and epidemiological surveillance. The future of veterinary epidemiology lays in new areas, such as herd management and economics, genetic selection and molecular biochemistry, and geriatric epidemiology in pets.",fre,0.8789967196170125,3
3,3,1979038,M1818307,Ethique et épidémiologie.,,fre,0.8756222308871207,4
4,4,1503799,M1342670,"Les dysthymies. Clinique, nosologie et épidémiologie.",,fre,0.8723183900986704,4
5,5,712596,M537463,Epidémiologie des cancers colo-rectaux.,,fre,0.8708771838449613,3
6,6,412331,M232268,Epidémiologie et étiologie du cancer colo-rectal.,,fre,0.8677117248217533,3
7,7,1699977,M1538941,Actualités en épidémiologie.,,fre,0.8635770934667626,4
8,8,1373805,M1212525,Epidémiologie du cancer colo-rectal,Some of the more recent contributions of epidemiology to knowledge of the causation of colo-rectal are reviewed. Geographical differences and changes in migrants suggest the importance of enviornmental (especially dietary) factors. High dietary fat is believed to stimulate increased bile secretion and thus provide a substrate for bacterial conversion to carcinogens or co-carcinogens. The association of beef consumption to colorectal cancer may relate to the fat content of beef. There is so far little direct evidence to support the alternative dietary fibre deficiency hypothesis.,fre,0.8634991276463327,3
9,9,1458732,M1297588,Boulimie et épidémiologie.,"Despite the multiplication of the epidemiological studies related to bulimia, the prevalence of the syndrome remains difficult to estimate, due to the variance of the results. 1 to 17% of the students will be bulimic. Numerous methodological imperfections may explain this disparity. In the studies the populations differentiate in accordance with age, social or economical level or ethnic group. Furthermore many of them were not randomly selected. Additionally, a few studies draw a comparison between the respondents and the sample from which they were drawn. This comparison is very important when the response rates are low. These two factors weaken the representation of the studies. All but one of the studies evaluated subjects by means of self-report questionnaires. The terms used are often not precise enough and there is a risk that individual subjects will interpret them idiosyncratically. Moreover, a lot of these questionnaires were pioneered in the studies, and reliability and validity data are lacking. The screening instruments ""BITE"" and ""BULIT"" have been formally evaluated, although they have not been used for the epidemiological evaluations. The BEQ has a good reliability, but has a low rate of identifying false positives. Studies using these self-report questionnaires operationalize the DSM III, the DSM III-R or the Russell criterias. As far as bulimia is concerned, there exist a small relationship between DSM III and DSM III-R. Furthermore, the DSM III criteria for bulimia have been criticized for being overinclusive. The inclusion in the DSM III-R of ""methods of weight control"" and ""a persistent overconcern with shape and weight"" contribute to decrease the prevalence of the disease.(ABSTRACT TRUNCATED AT 250 WORDS)",fre,0.8604480139888577,3
10,10,1755858,M1594841,Etiologie et épidémiologie des varices.,,fre,0.860237505223764,3
11,11,492158,M312154,Epidémiologie et prévention de la brucellose.,,fre,0.8587611362996083,3
12,12,1961971,M1801218,Asthme: définition et épidémiologie.,,fre,0.8537972488733092,3
13,13,1210650,M1048652,3. - Epidémiologie de l'infection hospitalière,,fre,0.8515925926727579,3
