,DBRECORDID,TITLE,ABSTRACT,LANGUAGE,cosine_scores
1745976,M1584957,Multiinfarkt- und Alzheimersche Demenz--differentialdiagnostische Probleme.,"The differential diagnosis of Alzheimer's and so-called multi-infarct dementia is still a major problem in clinical dementia research. It was Binswanger who in 1894 pointed out that a subtype of vascular dementia exists which is characterized by subcortical arteriosclerotic encephalopathy. It is this type that can most easily be mistaken for Alzheimer's dementia, presented for the first time in 1906, which may be associated with congophilic angiopathy leading to brain infarction. Beyond clinical criteria, which in part are summarized in Hachinski's ischemic score, further advancement of brain imaging techniques, especially those yielding perfusion or metabolic data, has facilitated and substantiated clinical in vivo distinction.",ger,0.8513393533204965
1568310,M1407228,"Organische Grundlagen depressiver Symptome bei der Alzheimer Demenz. Ergebnisse einer prospektiven Untersuchung, Literaturübersicht.","The diagnosis of Alzheimer's disease (AD) was verified at post-mortem examination in 46 patients (9 male: 37 female; mean age 83.6 +/- 6.5 years) from a prospective clinical study. Compared to 10 age-matched controls, the total AD group showed a significant neuronal loss in the locus coeruleus, dorsal raphe nucleus, substantia nigra and in the basal nucleus of Meynert. Twelve patients (1 male: 11 female) had experienced symptoms of depression. These patients had significantly lower neuronal counts in the locus coeruleus, but less severe cell loss in the basal nucleus of Meynert compared to the AD patients without depression.",ger,0.8137803521046474
1979197,M1818466,Ansätze gegen Alzheimer.,,ger,0.8008337993898395
1654897,M1493851,Single-dose and steady-state pharmacokinetics of sabeluzole in senile dementia of Alzheimer type patients.,"The single- and repeated-dose pharmacokinetics of sabeluzole have been determined in six elderly patients with [senile] dementia of the Alzheimer type. After a single oral dose of 10 mg sabeluzole, the peak plasma concentration was attained at 1 to 4 h; it averaged 42 ng.ml-1. On repeated dosing (10 mg b.d.), steady-state was virtually attained after 3 days of treatment. Steady-state mean trough and peak plasma concentrations fluctuated between 53 and 94 ng.ml-1. The mean terminal half-life after a single dose and at steady-state was of the order of 33 h. Sabeluzole was well tolerated and at the end of treatment, no systematic changes in blood haematology, biochemistry or urinalysis were seen.",eng,0.7996072398539685
1277799,M1116453,Leser-Zuschriften: Diabetes and Hyperurikämie,,ger,0.796038510549389
336154,M154163,Alzheimer's disease and senile dementia: genetic relationships to Down's syndrome and hematologic cancer.,,eng,0.793785689359578
320453,M138265,Organische Demenz als erstes Symptom einer kindlichen Chorea Huntington,"A loss of intellectual capacity at the age of 10 was the first symptom in a case of infantile Huntington's chorea. Subsequently a rigid hypokinetic syndrome occurred only at the age of 20. The dementia syndrome was confirmed in psychological tests. Auxiliary findings such as a diffuse abnornal EEG, as well as a dilatation of the lateral ventricles and an extension of the subarachnoid spaces in the PEG corresponded to a positive diagnosis of Huntington's chorea.",ger,0.7913847348853159
1963715,M1802962,"Quantitative neuropathological study of Alzheimer-type pathology in the hippocampus: comparison of senile dementia of Alzheimer type, senile dementia of Lewy body type, Parkinson's disease and non-demented elderly control patients.","A Lewy body dementing syndrome in the elderly has been recently described and designated senile dementia of Lewy body type (SDLT) on the basis of a distinct clinicopathological profile. The pathological changes seen in SDLT include the presence of cortical Lewy bodies (LB) frequently, but not invariably, associated with senile plaque (SP) formation. Whilst neocortical neurofibrillary tangles (NFT) are sparse or absent, a proportion of these cases show involvement of the temporal archicortex by lesions comprising Alzheimer-type pathology (ATP, i.e. NFT, SP and granulovacuolar degeneration [GVD]). Thus the relationship between SDLT and senile dementia of Alzheimer type (SDAT) is complex and controversial. In this study quantitative neuropathology was used to compare the intensity and distribution of ATP in the hippocampus and entorhinal cortex of 53 patients from 3 disease groups (SDLT, SDAT, Parkinson's disease (PD)) and a group of neurologically and mentally normal elderly control patients. For most brain areas examined the extent of ATP between the patient groups followed the trend SDAT greater than SDLT greater than PD greater than control. Statistical comparison of these groups revealed significant differences between the mean densities of NFT, SP and GVD although individual cases showed considerable variability. These results confirm additional pathological differences between SDAT and SDLT regarding the intensity of involvement of the temporal archicortex by ATP. Many patients with Lewy body disorders (LBdis) show a predisposition to develop ATP albeit in a more restricted distribution (e.g. low or absent neocortical NFT) and at lower densities than is found in SDAT. Some cases of SDLT show minimal SP and NFT formation in both neocortex and archicortex supporting previously published data distinguishing this group from Alzheimer's disease.",eng,0.7898565324673146
1722720,M1561693,Cerebrovascular responsiveness to hypercapnia in Alzheimer's dementia and vascular dementia of the Binswanger type.,"Background and purpose!#!Alzheimer's dementia is thought to be a primary degenerative dementia, whereas vascular dementia of the Binswanger type is an entity of vascular dementia. We evaluated the cerebrovascular responsiveness to hypercapnia to clarify the differences in the cerebral hemodynamics between two groups of patients. The subjects were eight younger control subjects, five age-matched control subjects, five Alzheimer's patients, and five patients with vascular dementia of the Binswanger type.!##!Summary of report!#!In the resting state, the regional cerebral blood flow was low in both Alzheimer's dementia and vascular dementia of the Binswanger type. The responsiveness to hypercapnia was preserved in Alzheimer's dementia, whereas it was impaired in vascular dementia of the Binswanger type in the cerebral cortices and in the deep white matter.!##!Conclusions!#!These results suggest that small vascular lesions exist in vascular dementia of the Binswanger type but not in Alzheimer's dementia, even though regional cerebral blood flow was thought to decrease by hypometabolism in both types of dementia.",eng,0.7892210551887732
1573675,M1412593,Cerebrovascular responsiveness to hypercapnia in Alzheimer's dementia and vascular dementia of the Binswanger type.,,eng,0.7892210551887732
