,DBRECORDID,TITLE,ABSTRACT,LANGUAGE,cosine_scores
16531,M27708073,Exploring Path Models of Disablement in Residential Care and Assisted Living Residents.,"This study examined the relationships between individual and environmental factors and physical activity, and between physical activity and functional limitations and disability in residential care/assisted living (RC/AL) residents. Participants completed questionnaires and physical performance tests, and wore the Fitbit Motion Tracker® to capture physical activity. Model fit was analyzed using two-level path models with residents nested within RC/AL settings. Model parameters were estimated using the MPlus robust maximum likelihood method. A multilevel model with good fit (root mean square error of approximation = 0.07, comparative fit index [CFI] = 0.91) showed that persons with greater exercise self-efficacy were more physically active, and persons who were more physically active had better physical function and less disability. Setting-level factors did not significantly correlate with physical activity or disability. Although environmental factors may influence physical activity behavior, only individual factors were associated with physical activity in this sample of RC/AL residents.",eng,0.8025376463184763
1562759,M1401674,The relationship between low vision and performance of activities of daily living in nursing home residents.,"Objective!#!To explore the link between low vision and Activities of Daily Living (ADL) performance in cognitively intact nursing home residents.!##!Design!#!Survey.!##!Setting!#!A non-profit geriatric long-term care facility.!##!Subjects!#!21 males, 82 females, aged 66-98.!##!Measures!#!Survey of 103 nursing home residents. ADL functioning assessed via Maryland Appraisal of Patient Progress (MAPP); medical data collected through chart review; ophthalmological data obtained through dilated eye examination by an ophthalmologist.!##!Results!#!In comparison with residents having good vision (n = 52), a significantly greater proportion of residents with low vision (n = 51) were dependent on caregivers for performing ADLs (eg, toileting, transferring, washing). Residents with low vision had significantly more eye pathology (eg, cataracts, age-related macular degeneration) than did residents with good vision. There were no significant differences between groups with regard to presence of musculoskeletal problems (eg, arthritis) or number of medical conditions (eg, cardiovascular disorder, cerebrovascular accident).!##!Conclusions!#!There is a strong link between low vision and ADL disability in nursing home residents. Moreover, ADL dependency is significantly related to the presence of eye disorders.",eng,0.8017087340428365
80049,M19177977,Teaching at an assisted living facility.,"The increase in assisted living facilities (ALFs) of various types has provided a new option for the delivery of clinical services to the elderly. For all these facilities, whether large or small, profit or nonprofit, primarily residential (the ""social model"") or with significant nursing care (the ""new"" model), their sole mission is to provide an appropriate level of residential and clinical services to their residents. However, given the rise in the number and variety of these facilities, there may be other uses to which they can be put. Specifically, these facilities may make excellent sites for the education and training of health care personnel. Acute care hospitals and nursing homes primarily deliver clinical services, but both are common sites for the training of a variety of health care personnel, both professional and nonprofessional. This article examines the teaching programs at one ALF and explores some possibilities for the future.",eng,0.7978816954872822
79759,M11974574,An older rural widow's transition from home care to assisted living.,"Designed to foster appreciation of comprehensive evaluation of home care outcomes, this case study of an older rural widow is part of a longitudinal phenomenological study of home care. Over 14 months, while her home care agency reacted to the Balanced Budget Act, nine interviews were done with a 95-year-old woman who lived alone until she moved to an assisted living facility. Data analysis yielded structures of her changing experience of home care. Although primarily supportive services may have been inconsistent with Medicare regulations, such services may have influenced the favorable outcomes of sustaining elders at home and undergirding the rural economy.",eng,0.79589557384063
1561749,M1400662,Living and working in space: evolution of nursing in a new environment.,,eng,0.7855411177291031
815532,M640455,Planning assisted independent living programs for the semi-independent elderly: development of a descriptive model.,,eng,0.779503232044463
71788,M28171836,Content of advance care planning among Japanese elderly people living at home: A qualitative study.,"Purpose of study!#!Elderly peoples' values and preferences for end-of-life care have not yet known in details. The aim of the present study was to investigate the end-of-life wishes and decision making among Japanese elderly people who required home care services. The study was designed to qualitative research strategies, using face to face interview data recorded in nursing care records, with a focus on advance care planning.!##!Design and methods!#!A total of 102 elderly people (47 males, 55 females) of 6 home care support offices in Hyogo prefecture participated.!##!Results and implications!#!We finally extracted the following 5 themes: anxiety about the future, abandonment of control, clinging to current daily life, precarious mutual support, delegating decision-making. While elderly people living at home generally feel anxious and fearful about the future, they seemed to try to avoid thinking too seriously about possible complications in their life. They also tend to leave end-of-life decision to someone else, and their decisions tend to change as they advance in age and as their condition deteriorates. Our findings suggest that medical professionals and care managers always support their patients' decisions, allowing for the views of the informal caregivers on whom elderly people rely for decision-making.",eng,0.7777048589711819
104208,M28295145,Variation in Hospice Services by Location of Care: Nursing Home Versus Assisted Living Facility Versus Home.,"Objectives!#!To describe differences in hospice services for patients living at home, in nursing homes or in assisted living facilities, including the overall number and duration of visits by different hospice care providers across varying lengths of stay.!##!Design!#!Retrospective cohort study using hospice patient electronic medical record data.!##!Setting!#!Large, national hospice provider.!##!Participants!#!Data from 32,605 hospice patients who received routine hospice care from 2009 to 2014 were analyzed.!##!Measurements!#!Descriptive statistics were calculated for utilization measures for each type of provider and by location of care. Frequency and duration of service contacts were standardized to a 1 week period and pairwise comparisons were used to detect differences in care provided between the three settings.!##!Results!#!Minimal differences were found in overall intensity of service contacts across settings, however, the mix of services were different for patients living at home versus nursing home versus assisted living facility. Overall, more nurse care was provided at the beginning and end of the hospice episode; intensity of aide care services was higher in the middle portion of the hospice episode. Nearly 43% of the sample had hospice stays less than 2 weeks and up to 20% had stays greater than 6 months.!##!Conclusion!#!There are significant differences between characteristics of hospice patients in different settings, as well as the mix of services they receive. Medicare hospice payment methodology was revised starting in 2016. While the new payment structure is in greater alignment with the U shape distribution of services, it will be important to evaluate the impact of the new payment methodology on length of stay and mix of services by different providers across settings of care.",eng,0.7761719004317233
440990,M260948,On the scene: maximizing nursing practice at Harborview Medical Center. Working together and growing together.,,eng,0.773507628313532
1478940,M1317809,Applying nursing diagnosis and nursing process to activities of daily living and mobility.,,eng,0.7719465738991874
