,DBRECORDID,TITLE,ABSTRACT,LANGUAGE,cosine_scores
1562759,M1401674,The relationship between low vision and performance of activities of daily living in nursing home residents.,"Objective!#!To explore the link between low vision and Activities of Daily Living (ADL) performance in cognitively intact nursing home residents.!##!Design!#!Survey.!##!Setting!#!A non-profit geriatric long-term care facility.!##!Subjects!#!21 males, 82 females, aged 66-98.!##!Measures!#!Survey of 103 nursing home residents. ADL functioning assessed via Maryland Appraisal of Patient Progress (MAPP); medical data collected through chart review; ophthalmological data obtained through dilated eye examination by an ophthalmologist.!##!Results!#!In comparison with residents having good vision (n = 52), a significantly greater proportion of residents with low vision (n = 51) were dependent on caregivers for performing ADLs (eg, toileting, transferring, washing). Residents with low vision had significantly more eye pathology (eg, cataracts, age-related macular degeneration) than did residents with good vision. There were no significant differences between groups with regard to presence of musculoskeletal problems (eg, arthritis) or number of medical conditions (eg, cardiovascular disorder, cerebrovascular accident).!##!Conclusions!#!There is a strong link between low vision and ADL disability in nursing home residents. Moreover, ADL dependency is significantly related to the presence of eye disorders.",eng,0.7971363583582153
111598,M27982744,Factors that Influence Physical Activity among Residents in Assisted Living.,"The purpose of this study was to examine factors that influence physical activity among residents in assisted living. This was a secondary data analysis using baseline data from a function-focused care intervention study including 171 residents from 4 assisted living facilities. Using structural equation modeling, we found that mood, satisfaction with staff and activities, and social support for exercise were directly associated with time spent in physical activity. Gender, cognition, depression, and comorbidities were indirectly associated with physical activity and accounted for 13% of the total variance in physical activity. Implications for future research and social work practice are presented.",eng,0.7964409170569656
80049,M19177977,Teaching at an assisted living facility.,"The increase in assisted living facilities (ALFs) of various types has provided a new option for the delivery of clinical services to the elderly. For all these facilities, whether large or small, profit or nonprofit, primarily residential (the ""social model"") or with significant nursing care (the ""new"" model), their sole mission is to provide an appropriate level of residential and clinical services to their residents. However, given the rise in the number and variety of these facilities, there may be other uses to which they can be put. Specifically, these facilities may make excellent sites for the education and training of health care personnel. Acute care hospitals and nursing homes primarily deliver clinical services, but both are common sites for the training of a variety of health care personnel, both professional and nonprofessional. This article examines the teaching programs at one ALF and explores some possibilities for the future.",eng,0.7945571084851024
815532,M640455,Planning assisted independent living programs for the semi-independent elderly: development of a descriptive model.,,eng,0.7886202262100784
16531,M27708073,Exploring Path Models of Disablement in Residential Care and Assisted Living Residents.,"This study examined the relationships between individual and environmental factors and physical activity, and between physical activity and functional limitations and disability in residential care/assisted living (RC/AL) residents. Participants completed questionnaires and physical performance tests, and wore the Fitbit Motion Tracker® to capture physical activity. Model fit was analyzed using two-level path models with residents nested within RC/AL settings. Model parameters were estimated using the MPlus robust maximum likelihood method. A multilevel model with good fit (root mean square error of approximation = 0.07, comparative fit index [CFI] = 0.91) showed that persons with greater exercise self-efficacy were more physically active, and persons who were more physically active had better physical function and less disability. Setting-level factors did not significantly correlate with physical activity or disability. Although environmental factors may influence physical activity behavior, only individual factors were associated with physical activity in this sample of RC/AL residents.",eng,0.7858123431731476
79759,M11974574,An older rural widow's transition from home care to assisted living.,"Designed to foster appreciation of comprehensive evaluation of home care outcomes, this case study of an older rural widow is part of a longitudinal phenomenological study of home care. Over 14 months, while her home care agency reacted to the Balanced Budget Act, nine interviews were done with a 95-year-old woman who lived alone until she moved to an assisted living facility. Data analysis yielded structures of her changing experience of home care. Although primarily supportive services may have been inconsistent with Medicare regulations, such services may have influenced the favorable outcomes of sustaining elders at home and undergirding the rural economy.",eng,0.7842069053923804
1561749,M1400662,Living and working in space: evolution of nursing in a new environment.,,eng,0.7792521394602715
104208,M28295145,Variation in Hospice Services by Location of Care: Nursing Home Versus Assisted Living Facility Versus Home.,"Objectives!#!To describe differences in hospice services for patients living at home, in nursing homes or in assisted living facilities, including the overall number and duration of visits by different hospice care providers across varying lengths of stay.!##!Design!#!Retrospective cohort study using hospice patient electronic medical record data.!##!Setting!#!Large, national hospice provider.!##!Participants!#!Data from 32,605 hospice patients who received routine hospice care from 2009 to 2014 were analyzed.!##!Measurements!#!Descriptive statistics were calculated for utilization measures for each type of provider and by location of care. Frequency and duration of service contacts were standardized to a 1 week period and pairwise comparisons were used to detect differences in care provided between the three settings.!##!Results!#!Minimal differences were found in overall intensity of service contacts across settings, however, the mix of services were different for patients living at home versus nursing home versus assisted living facility. Overall, more nurse care was provided at the beginning and end of the hospice episode; intensity of aide care services was higher in the middle portion of the hospice episode. Nearly 43% of the sample had hospice stays less than 2 weeks and up to 20% had stays greater than 6 months.!##!Conclusion!#!There are significant differences between characteristics of hospice patients in different settings, as well as the mix of services they receive. Medicare hospice payment methodology was revised starting in 2016. While the new payment structure is in greater alignment with the U shape distribution of services, it will be important to evaluate the impact of the new payment methodology on length of stay and mix of services by different providers across settings of care.",eng,0.7781759205933543
702756,M527621,Living arrangements and well being in elderly women.,"Psychosocial and health data were obtained from 50 black and 47 white females age 65 and over. The women were divided according to whether they lived alone, with spouse only, or with persons other than (or in addition to) the spouse. Those living alone were found to have lower life satisfaction, lower self-esteem, and higher social dysfunction than those living with spouse or others. No differences were found with respect to depression, somatization, diet, or activity level. There was a significant interaction effect between race and living arrangement with respect to anxiety, with blacks being less anxious than whites when living with others, and more anxious when living alone or with only a spouse.",eng,0.7768250803775607
1478940,M1317809,Applying nursing diagnosis and nursing process to activities of daily living and mobility.,,eng,0.7702156589606769
71788,M28171836,Content of advance care planning among Japanese elderly people living at home: A qualitative study.,"Purpose of study!#!Elderly peoples' values and preferences for end-of-life care have not yet known in details. The aim of the present study was to investigate the end-of-life wishes and decision making among Japanese elderly people who required home care services. The study was designed to qualitative research strategies, using face to face interview data recorded in nursing care records, with a focus on advance care planning.!##!Design and methods!#!A total of 102 elderly people (47 males, 55 females) of 6 home care support offices in Hyogo prefecture participated.!##!Results and implications!#!We finally extracted the following 5 themes: anxiety about the future, abandonment of control, clinging to current daily life, precarious mutual support, delegating decision-making. While elderly people living at home generally feel anxious and fearful about the future, they seemed to try to avoid thinking too seriously about possible complications in their life. They also tend to leave end-of-life decision to someone else, and their decisions tend to change as they advance in age and as their condition deteriorates. Our findings suggest that medical professionals and care managers always support their patients' decisions, allowing for the views of the informal caregivers on whom elderly people rely for decision-making.",eng,0.7696782410519226
80012,M18236958,Determinants of resident autonomy in assisted living facilities: a review of the literature.,"Assisted living (AL) stresses the importance of resident autonomy in the provision of good quality care. Resident autonomy has been linked to better resident well-being, less reliance on supportive services, and greater participation in social activities. Little is known, however, about factors that foster resident autonomy in AL. This article reviews what is currently known about organizational determinants of resident autonomy in AL. The open-natural systems approach to organizational effectiveness, which views organizations in relation to their environment, provides a broad conceptual framework for this analysis. Factors that influence resident autonomy in AL are classified into two categories: (a) external environmental conditions (e.g., ownership status, chain membership, regulatory environment) and (b) internal organizational structures and processes (e.g., facility size, residents' functional ability, resident social resources, and staff work environment). Environmental conditions represent the most antecedent set of factors that influence resident autonomy, indirectly through their effects on internal organizational structures and processes. Internal organizational factors influence resident autonomy through their impact on policies that enable resident choice and control in the facility. More research is needed to better understand the complex mechanism(s) through which organizational factors influence resident autonomy.",eng,0.766958431116511
169000,M23718786,Living and dying: responsibility for end-of-life care in care homes without on-site nursing provision - a prospective study.,"The aim of the study was to describe the expectations and experiences of end-of-life care of older people resident in care homes, and how care home staff and the healthcare practitioners who visited the care home interpreted their role. A mixed-method design was used. The everyday experience of 121 residents from six care homes in the East of England were tracked; 63 residents, 30 care home staff with assorted roles and 19 National Health Service staff from different disciplines were interviewed. The review of care home notes demonstrated that residents had a wide range of healthcare problems. Length of time in the care homes, functional ability or episodes of ill-health were not necessarily meaningful indicators to staff that a resident was about to die. General Practitioner and district nursing services provided a frequent but episodic service to individual residents. There were two recurring themes that affected how staff engaged with the process of advance care planning with residents; 'talking about dying' and 'integrating living and dying'. All participants stated that they were committed to providing end-of-life care and supporting residents to die in the care home, if wanted. However, the process was complicated by an ongoing lack of clarity about roles and responsibilities in providing end-of-life care, doubts from care home and primary healthcare staff about their capacity to work together when residents' trajectories to death were unclear. The findings suggest that to support this population, there is a need for a pattern of working between health and care staff that can encourage review and discussion between multiple participants over sustained periods of time. ",eng,0.763636085618064
440990,M260948,On the scene: maximizing nursing practice at Harborview Medical Center. Working together and growing together.,,eng,0.7625607094455104
1667207,M1506168,Falls among elderly people living at home: medical and social factors in a national sample.,"Falls are the most common accidents among the elderly, and while medical risk factors are well known, less is known about the association of falls with social factors. The aims of this study were to estimate the incidence rate of falls in a national, representative sample of Israeli elderly and to examine the association of falls with selected medical and social factors. A special national survey conducted in 1985 by the Israel Central Bureau of Statistics showed that among a representative sample of 3,494 community-dwelling elderly persons aged greater than or equal to 65, 24% reported a fall in the past year; the rate was 16% among men and 31% among women. The majority of falls reported happened out of doors. Of those who fell 37% subsequently visited the emergency room. Analyses adjusted for age and sex showed that single persons, particularly women, living alone reported falls at a higher rate than their married counterparts. Analyses adjusted for age, sex and mobility level showed that frequency of social interaction was inversely related to reported falls. Use of sleeping pills, problems with vision, and mobility restrictions were associated with falls in age- and sex-adjusted analyses. Advanced age (greater than 75 years) was associated with repeated falls that occurred both in the home and outdoors.",eng,0.7609324449407391
522916,M344279,Nursing implications in the care of patients treated with assisted mechanical ventilation modified with positive end-expiratory pressure.,,eng,0.7575355791691851
96206,M27575674,Home fire safety intervention pilot with urban older adults living in Wales.,"The purpose of this pilot study was to evaluate the effects of a home fire safety (HFS) education program developed in the US, on improved HFS knowledge and practice in a purposive sample of 12 urban older adults living in Swansea, Wales. Knowledge was tested at baseline (T1), immediately after watching a Video on HFS (T2), and at 2-week follow-up (T3). A majority of the participants were Caucasian (n=9, 81.8%), and female (n=11, 91.7%); their mean age was 78years old (SD=12.7years). They had two chronic illnesses (n=1.8, SD=1.3), walked without help (n=7, 58.3%), and lived in a flat (n=10, 90.9%). Knowledge scores (percent correct) changed over time and were significantly different from T1 (46.7%) to T2 (59.2%, p=0.04) and from T1 (46.7%) to T3 (58.9%, p=0.04), but T2 and T3 (p=0.94) scores showed no difference. There is a need for educational HFS intervention programs aimed at this age group. This pilot successfully targeted active older adults living independently in sheltered housing complexes. Further fire safety research is needed with community dwelling older adults living in other types of housing.",eng,0.7532533263324422
148548,M27862492,Self-perceived health status and sleep quality of older adults living in community after elastic band exercises.,"Aims and objectives!#!To test the effectiveness of a six-month senior elastic band exercise programme on the self-perceived health status and sleep quality of older adults living in community settings.!##!Background!#!Health issues common among older adults living in community settings include poor physical and mental health conditions and sleep quality. Engagement in appropriate exercise programmes facilitates alleviating these health issues among older adults.!##!Design!#!A quasi-experimental design was applied. A convenience sample of older adults was drawn from six senior-citizen activity centres in southern Taiwan. Participants were assigned to either an experimental group (three centres, n = 97) or a control group (three centres, n = 102) based on the senior-citizen activity centres they attended.!##!Methods!#!The participants in the experimental group carried out the Senior Elastic Band exercise programme for six months (three times per week and 40 minutes per session) in addition to their daily activities. The participants in the control group maintained their daily activities. The participants' self-perceived health status and sleep quality were examined at the baseline, three-month interval and six-month interval.!##!Results!#!In total, 169 participants completed the six-month study: 84 constituted the experimental group and 85 constituted the control group. At the three-month interval, the participants in the experimental group had greater improvements in self-perceived physical health, overall sleep quality, sleep latency and sleep duration compared with those in the control group; these significant changes continued throughout the six-month study.!##!Conclusions!#!The Senior Elastic Band exercise programme showed promising effects in improving the self-perceived physical health and sleep quality of older adults living in community settings.!##!Relevance to clinical practice!#!Healthcare professionals can incorporate the Senior Elastic Band exercise programme as one of the health promotion activities for older adults living in community settings.",eng,0.7525393815319015
157701,M28158948,The palliative care experiences of adults living in regional and remote areas of Australia: A literature review.,"Background!#!Regional and remote areas are often disadvantaged in terms of access to palliative care services. The impact of reduced access to services on people living in regional or remote areas of Australia is poorly understood.!##!Objective!#!Identify and examine current literature relating to the palliative care experiences of adults living in regional and remote areas of Australia.!##!Methods!#!CINAHL, Medline, PubMed, Cochrane Review Library and grey literature were searched using a combination of keywords. A thematic analysis was applied.!##!Results!#!Thirteen articles were included in the final review. Poor access, relocation and hardship were identified as issues affecting participants.!##!Conclusion!#!Limited literature was available addressing the palliative care experiences of adults living in regional and remote areas of Australia. To identify and address any inequities in palliative care provision and access, the experiences of palliative care patients living outside major cities need to be examined.",eng,0.7519846855567078
1757134,M1596117,Functional status of older persons with chronic mental illness living in a home setting.,"The purpose of the study was to determine the functional status of older persons with chronic mental illness. One hundred subjects living in their homes were interviewed in face-to-face interviews using the Older Adult Resources Survey (OARS) to determine functioning in five areas: social, economic, mental, physical, and activities of daily living. Pearson product moment correlation showed significant relationships among all functional scores. Twenty-nine percent of the total sample had social relationships of poor quality. Thirty-five percent of subjects had severe economic impairment. The majority (53%) of subjects had psychiatric symptoms. The most common psychiatric diagnosis was depression (42%), followed by schizophrenia (22%), and bipolar illness (13%). Twenty-nine percent of subjects had a serious medical problem that required medical treatment. Cardiovascular diseases were the most frequently reported (92%), followed by arthritis (45%) and urinary tract disorders (19%). All subjects perceived that their physical health had deteriorated over the 5 years. Polypharmacy and drug misuse were common among the sample. A mean of four prescribed drugs was taken daily over the past month. Psychotropic (83%), antihypertensive (32%), and cardiac (20%) medications were the most frequently prescribed drugs. Twenty-five percent of the sample regularly required assistance with at least four activities of daily living.",eng,0.7503560456384045
1013597,M851341,The eye lens - some aspects of the radiation dose and protection of the patients and the personnel in pediatric radiology.,,fre,0.7037551160375496
1206522,M1044506,[I.L.O. Employment and working and living conditions of nursing personnel].,,fre,0.6983075583939841
1452150,M1291006,Guidelines for the investigation of individuals who were placed under surveillance for tuberculosis post-landing in Canada. Immigration and Overseas Health Services and the Bureau of Communicable Disease Epidemiology.,,fre,0.6979843626487121
1060540,M898302,[Plan for establishment of an Emergency Medical Assistance Unit for the region of Greater Tunis (SAMU of Tunis)].,,fre,0.6976968938625693
1732894,M1571867,"Toward the rational management of herpes infection in pregnant women and their newborn infants. Infectious Diseases and Immunization Committee, Canadian Paediatric Society.",,fre,0.6964953194415041
1611039,M1449983,"Global health situation. II. Health and environment: urbanization, literacy, water supply and sanitation.",,fre,0.6964583587647574
1452151,M1291007,"Guidelines for the identification, investigation and treatment of individuals with concomitant tuberculosis and human immunodeficiency virus infection. Canadian Thoracic Society, the Tuberculosis Directors of Canada and the Department of National Health and Welfare.",,fre,0.6937256203668648
1799783,M1638786,The future of academic medicine within the health care system in Canada.,,fre,0.6904812954502566
1646510,M1485465,Guidelines for therapeutic studies on peripheral arterial occlusive disease in Fontaine stages II-IV. German society of Angiology.,,ger,0.6899841844451943
1132207,M970005,"[Relations hip between placental weight and age, family characteristics, parity and activity of the mother as well as the weight or maturity and sex of the newborn infant]?1?H.","An investigation of the correlation of the placental weights of 500 unselected live-born babies delivered after a gestation period of 33 weeks at the minimum and 42 weeks at the maximum, respectively, with age, family status parity, and mother's occupation, as well as with the weight, maturity, and sex of the neonates yielded the following results: 1. Between primiparae, secundiparae, and multiparae, working and housewife mothers, workers, farmerettes, women doing other jobs, and academically trained women, eutrophic mature and hypertrophic mature neonates, and newly born male and female babies there was observed a roughly similar frequency of the generally accepted ""normal weight of placenta"" of 400 g to 600 g and no significance of minor differences in frequency, respectively. 2. The high incidence of mothers aged 20 and less in the ""normal placental weight group"" of 400 g to 600 g compared to 21- to 30-year-old and 31- to 35-year-old mothers was not found to be significant. 3. The high incidence of unmarried mothers in the ""normal placental weight group"" of 400 g to 600 g compared to married mothers is not significant, the higher incidence of premature labor in unmarried women being due possibly, not to the weight of placenta, but rather primiparity, age under 20, and social class. 4. The higher frequency in the placental weight group up to and including 400 g of married compared to unmarried mothers, primiparae compared to secundiparae, primiparae and secundiparae compared to multiparae, working mothers compared to housewife mothers, and workers and farmerettes compared to both women doing other types of jobs and academically trained women was not found to be significant.",ger,0.6892888029492574
1467530,M1306398,Nurses not heard in the health promotion movement.,,fre,0.6889452942094818
1619474,M1458420,"Guidelines for transfusion of erythrocytes to neonates and premature infants. Fetus and Newborn Committee, Canadian Paediatric Society.","The transfusion of erythrocytes to neonates and premature infants is common and should be minimized through a reduction in the number of blood samples taken for laboratory tests. The risks to patients have been minimized with current blood-banking techniques, although neonates and premature infants may require special consideration. The indications for transfusion of erythrocytes to neonates include the presence of shock, a loss of 10% or more of the blood volume within 72 hours when further blood sampling is expected, a hemoglobin level of less than 130 g/L in neonates with cardio-respiratory disease who require increased oxygen-carrying capacity, and a hemoglobin level of less than 80 to 100 g/L in neonates with tachypnea, tachycardia, recurrent apnea, poor feeding or failure to gain weight. The attending physician should consider these indications along with clinical judgement to ensure safe and effective erythrocyte transfusion.",fre,0.6880627522182197
770698,M595619,Public health implications of stationary and declining populations.,,fre,0.6867815727817936
501457,M321482,Considerations on the design of occlusion in prosthetic rehabilitation of patients with advanced periodontal disease.,,ger,0.6857084223242635
1178578,M1016460,[Air hygiene studies in the district of Halle- immission measurements in the urban areas of Halle and Halle-Neustadt].,,ger,0.6853145330704096
1386385,M1225161,[Roentgenologic evaluation of pulmonary arteries in normal babies and roentgen appearance of pulmonary vascularity in young infants with congenital heart diseases].,,fre,0.6852017649678712
754689,M579586,A reflection on the oxygen diffusion of the terminal villus of the human placenta (author's transl).,"By using a simple model, transformed to cartesian coordinates, we examined the behavior of the fetal and maternal oxygen partial pressure on the terminal villus of the human placenta during a constant arteriovenous oxygen difference. For this purpose we divided the flow length of the cotyledon in central and a peripheral part. We found that the oxygen exchange takes place at a lower utero-umbilical oxygen pressure gradient it the reduction of the maternal blood flow velocity amounts to 30% of the normal value and if the diffusion distance is doubled. However under these circumstances a sufficient the oxygen supply of the fetal organism. This is the case with the total flow length of a single cotyledon, but some of the terminal villi in the periphery of the cotyledon, could receive at the same time a diminished oxygen supply leading to degenerative cell changes. At a progression of these morphological changes or during labor the oxygen transport can get insufficient.",ger,0.6847081351932955
225329,M41515,"Solution of nutritional problems: the contribution of producers, distributors and nutritionists. Symposium organized by the Institute for Nutrition Research of the Green Meadow Foundation, Zürich, April 12--14, 1978.",,ger,0.6840301937428501
326352,M144270,[Changes of the heart axis with in flow occlusion through intraabdominal pressure (an unusual complication during laparoscopy)].,,ger,0.6822743445276145
1547866,M1386778,"Steroid therapy for croup in children admitted to hospital. Infectious Diseases and Immunization Committee, Canadian Paediatric Society.",,fre,0.6818705684280634
1007034,M844778,Das National Institute for the Care of the Seriously Ill and Dying,,ger,0.6801498219150175
1463381,M1302239,The 1992-93 general supervision of the practice of the nursing assistant profession program.,,fre,0.6800994866869112
