,DBRECORDID,TITLE,ABSTRACT,LANGUAGE,cosine_scores
1291567,M1130236,Retinadurchblutung and Fluoresceinmikroskopie,,ger,0.8726179406507077
1206005,M1043989,Obstetric analgesics and the development of children.,,ger,0.8318744487781274
1088924,M926708,[Clinical and biochemical studies on the significance and formation of hemoglobins AIc and AIa+b in diabetes mellitus].,,ger,0.8279365299170971
1132207,M970005,"[Relations hip between placental weight and age, family characteristics, parity and activity of the mother as well as the weight or maturity and sex of the newborn infant]?1?H.","An investigation of the correlation of the placental weights of 500 unselected live-born babies delivered after a gestation period of 33 weeks at the minimum and 42 weeks at the maximum, respectively, with age, family status parity, and mother's occupation, as well as with the weight, maturity, and sex of the neonates yielded the following results: 1. Between primiparae, secundiparae, and multiparae, working and housewife mothers, workers, farmerettes, women doing other jobs, and academically trained women, eutrophic mature and hypertrophic mature neonates, and newly born male and female babies there was observed a roughly similar frequency of the generally accepted ""normal weight of placenta"" of 400 g to 600 g and no significance of minor differences in frequency, respectively. 2. The high incidence of mothers aged 20 and less in the ""normal placental weight group"" of 400 g to 600 g compared to 21- to 30-year-old and 31- to 35-year-old mothers was not found to be significant. 3. The high incidence of unmarried mothers in the ""normal placental weight group"" of 400 g to 600 g compared to married mothers is not significant, the higher incidence of premature labor in unmarried women being due possibly, not to the weight of placenta, but rather primiparity, age under 20, and social class. 4. The higher frequency in the placental weight group up to and including 400 g of married compared to unmarried mothers, primiparae compared to secundiparae, primiparae and secundiparae compared to multiparae, working mothers compared to housewife mothers, and workers and farmerettes compared to both women doing other types of jobs and academically trained women was not found to be significant.",ger,0.8245779918481124
1169626,M1007504,Biographical situation of scoliotic children and their relationship to the social environment(author's transl).,"Studies were conducted to determine whenther or not scoliosis in childhood affects the behavior and experience of the affected children. Two groups of scoliotic and nonscoliotic children were examined with selected psychological tests. No differences could be found in regard to neuroticism, extraversion, manifest fear or the children's self-image. Differences were found in regard to the social environment which scoliotic children experienced as more demanding and supportive. As a result they were more concerned with achievement in a performance situation and more confident of success. The type and extent of the psychological effects of scoliosis is determined by the position accorded to the children by the social environment. Negative consequences can best be dealt with by educating the parents.",ger,0.8217978749583038
1349035,M1187739,Interactions between macromolecular adjuvants and drugs. 1. The tendency to associate between polyvinylalcohol and local anesthetics.,,ger,0.8179601893100453
1007034,M844778,Das National Institute for the Care of the Seriously Ill and Dying,,ger,0.8178720734339624
198877,M14648,An experimental and clinical pharmacological study of the influence of triamterene on the diuretic and saluretic properties of furosemide xantinol.,"The diuretic and saluretic effect of furosemide xantinol administered alone and mixed with different amounts of 2,4,7-triamino-6-phenylpteridine (triamterene) have been investigated in rat and man. The presence of triamterene resulted in a dose dependent inhibition of furosemide xantinol induced diuresis in both species. It was necessary to reduce the amount of triamterene present in the mixture to approximately half that of the one theoretically required according to considerations of the recommended therapeutic doses of the two diuretics before significant inhibition was avoided. Nevertheless, this reduced amount of triamterene proved sufficient to inhibit the distal tubular exchange of Na+ for K+ and H+ and a mixture formulated to give the ratio of 40 mg furosemide xantinol (as base) plus 25 mg triamterene (Salidur) was shown to produce a smooth but efficient loss of water and Na+ in the absence of detectable kaliuresis or reduction in urinary pH, thereby reducing the usual risk of inducing hypokalaemic alkalosis.",ger,0.81617903218007
1154345,M992183,Influence of helio- and thalassotherapy on the vitamin A and Beta-carotene levels in psoriasis,,ger,0.8147264702201689
326336,M144254,Health care delivery system in the USA: the dilemma of responsibility allocation between the individual and society (author's transl).,,ger,0.8129447390076188
225329,M41515,"Solution of nutritional problems: the contribution of producers, distributors and nutritionists. Symposium organized by the Institute for Nutrition Research of the Green Meadow Foundation, Zürich, April 12--14, 1978.",,ger,0.8122280830673654
612636,M437467,On the problem of asymptomatic bacteriuria and the need for treatment after gynaecological operations (author's transl).,,ger,0.8117652534132742
1239791,M1077905,[The workplace of the dentist. Problems of organization and equipment].,,ger,0.8105605197529909
1168768,M1006646,"%Incidence and determination of parasites in the organs of chicken, turkey, goose and duck during autopsy and slaughter.",,ger,0.8103362508919946
1230707,M1068780,"[Clinical studies on the effect of occlusal locks with a strength of 0,25 mm in the region of the Mm.pterygoidei].",,ger,0.8079207679078215
1144175,M981977,E1Socio-economic data concerning the early childhood and the actual life-situation of psychiatric out-patients.,"By means of a standarized social psychiatric questionnaire which was developed from the AMP-system and which forms the basis for a standardized case history used in our outpatient clinic, a random sample of 500 ambulant patients from the years 1970 and 1971 were examined concerning their socio-economic data. Patients of the age group of 20-24 years were overrepresented (p less than 0,05) as well as patients of the lower socio-economic classes and patients whose parents were less than 20 years old at the time of the patients' birth. The structure of the family in childhood showed significant differences concerning patients with different social contacts and different diagnoses. Patients who grew up in big families have themselves a relatively large number of children and vice versa (p less than 0,01). A significant correlation (p less than 0,01) consists also between the number of siblings of the patients and the socio-economic class they belong to: Patients from the underprivileged socio-economic classes mostly grew up in big families.",ger,0.8069914460654085
1080806,M918584,[Contribution to the effect of tri and tetracyclic antidepressive agents on heart and circulation].,,ger,0.8068091582688013
1428922,M1267756,"Studies on the flora of the genital - and nasal mucosa in horses, especially stallions with bacterial pathogens important in horse breeding and with special reference to klebsiellas. 2. Morphologic and biochemical studies on klebsiellas.",,ger,0.8063550734195248
