,DBRECORDID,TITLE,ABSTRACT,LANGUAGE,cosine_scores
1291567,M1130236,Retinadurchblutung and Fluoresceinmikroskopie,,ger,0.8726179406507081
1206005,M1043989,Obstetric analgesics and the development of children.,,ger,0.8100285673975202
1088924,M926708,[Clinical and biochemical studies on the significance and formation of hemoglobins AIc and AIa+b in diabetes mellitus].,,ger,0.8089441933229532
1169626,M1007504,Biographical situation of scoliotic children and their relationship to the social environment(author's transl).,"Studies were conducted to determine whenther or not scoliosis in childhood affects the behavior and experience of the affected children. Two groups of scoliotic and nonscoliotic children were examined with selected psychological tests. No differences could be found in regard to neuroticism, extraversion, manifest fear or the children's self-image. Differences were found in regard to the social environment which scoliotic children experienced as more demanding and supportive. As a result they were more concerned with achievement in a performance situation and more confident of success. The type and extent of the psychological effects of scoliosis is determined by the position accorded to the children by the social environment. Negative consequences can best be dealt with by educating the parents.",ger,0.8087773243246598
1132207,M970005,"[Relations hip between placental weight and age, family characteristics, parity and activity of the mother as well as the weight or maturity and sex of the newborn infant]?1?H.","An investigation of the correlation of the placental weights of 500 unselected live-born babies delivered after a gestation period of 33 weeks at the minimum and 42 weeks at the maximum, respectively, with age, family status parity, and mother's occupation, as well as with the weight, maturity, and sex of the neonates yielded the following results: 1. Between primiparae, secundiparae, and multiparae, working and housewife mothers, workers, farmerettes, women doing other jobs, and academically trained women, eutrophic mature and hypertrophic mature neonates, and newly born male and female babies there was observed a roughly similar frequency of the generally accepted ""normal weight of placenta"" of 400 g to 600 g and no significance of minor differences in frequency, respectively. 2. The high incidence of mothers aged 20 and less in the ""normal placental weight group"" of 400 g to 600 g compared to 21- to 30-year-old and 31- to 35-year-old mothers was not found to be significant. 3. The high incidence of unmarried mothers in the ""normal placental weight group"" of 400 g to 600 g compared to married mothers is not significant, the higher incidence of premature labor in unmarried women being due possibly, not to the weight of placenta, but rather primiparity, age under 20, and social class. 4. The higher frequency in the placental weight group up to and including 400 g of married compared to unmarried mothers, primiparae compared to secundiparae, primiparae and secundiparae compared to multiparae, working mothers compared to housewife mothers, and workers and farmerettes compared to both women doing other types of jobs and academically trained women was not found to be significant.",ger,0.8049779109863647
1230707,M1068780,"[Clinical studies on the effect of occlusal locks with a strength of 0,25 mm in the region of the Mm.pterygoidei].",,ger,0.8022949116786654
1349035,M1187739,Interactions between macromolecular adjuvants and drugs. 1. The tendency to associate between polyvinylalcohol and local anesthetics.,,ger,0.7978199390157978
505663,M325930,Hypo- and hyperparathyrecoidismus in der schwangerschaft,"During pregnancy the maternal calcium metabolism is submitted to special loads. Overchallenging of the functional capacity of the parathyroid gland may evoke an insufficiency of the parathyroid gland which on its part induces a fetal secondary hyperparathyroidism. Therefore, the early diagnostic recognition of the insufficiency of the parathyroid gland is of importance, since (also in basic diseases known before pregnancy) now special therapeutic conditions are given. Maternal hyperparathyroidism leads to fetal hypoprarthyroidism with resulting developmental disturbances; it furthers the tendency to abortions and perinatal mortality. Epidemiological prospective investigations have shown that among the identified cases of oligo- or asymptomatic functional disturbances of the parathyroid glands there are very often women at an age, when they are capable of bearing children. This statement confirms the postule regularly to control serum calcium content during pregnancy. Objectifying the disturbed integrity of the calcium metabolism, therapeutic measures are necessary, the details of which are demonstrated according to own experiences. In such cases the cooperation between the gynaecologist being in charge of the pregnant woman and the internist working in the field of endocrinology is to be wished.",ger,0.7974584755568621
612636,M437467,On the problem of asymptomatic bacteriuria and the need for treatment after gynaecological operations (author's transl).,,ger,0.7955069953430165
198877,M14648,An experimental and clinical pharmacological study of the influence of triamterene on the diuretic and saluretic properties of furosemide xantinol.,"The diuretic and saluretic effect of furosemide xantinol administered alone and mixed with different amounts of 2,4,7-triamino-6-phenylpteridine (triamterene) have been investigated in rat and man. The presence of triamterene resulted in a dose dependent inhibition of furosemide xantinol induced diuresis in both species. It was necessary to reduce the amount of triamterene present in the mixture to approximately half that of the one theoretically required according to considerations of the recommended therapeutic doses of the two diuretics before significant inhibition was avoided. Nevertheless, this reduced amount of triamterene proved sufficient to inhibit the distal tubular exchange of Na+ for K+ and H+ and a mixture formulated to give the ratio of 40 mg furosemide xantinol (as base) plus 25 mg triamterene (Salidur) was shown to produce a smooth but efficient loss of water and Na+ in the absence of detectable kaliuresis or reduction in urinary pH, thereby reducing the usual risk of inducing hypokalaemic alkalosis.",ger,0.7951134892904029
