,Unnamed: 0,DBRECORDID,TITLE,ABSTRACT,LANGUAGE,cosine_scores
0,1291567,M1130236,Retinadurchblutung and Fluoresceinmikroskopie,,ger,0.8726179406507077
1,1206005,M1043989,Obstetric analgesics and the development of children.,,ger,0.8318744487781274
2,1088924,M926708,[Clinical and biochemical studies on the significance and formation of hemoglobins AIc and AIa+b in diabetes mellitus].,,ger,0.8279365299170972
3,1132207,M970005,"[Relations hip between placental weight and age, family characteristics, parity and activity of the mother as well as the weight or maturity and sex of the newborn infant]?1?H.","An investigation of the correlation of the placental weights of 500 unselected live-born babies delivered after a gestation period of 33 weeks at the minimum and 42 weeks at the maximum, respectively, with age, family status parity, and mother's occupation, as well as with the weight, maturity, and sex of the neonates yielded the following results: 1. Between primiparae, secundiparae, and multiparae, working and housewife mothers, workers, farmerettes, women doing other jobs, and academically trained women, eutrophic mature and hypertrophic mature neonates, and newly born male and female babies there was observed a roughly similar frequency of the generally accepted ""normal weight of placenta"" of 400 g to 600 g and no significance of minor differences in frequency, respectively. 2. The high incidence of mothers aged 20 and less in the ""normal placental weight group"" of 400 g to 600 g compared to 21- to 30-year-old and 31- to 35-year-old mothers was not found to be significant. 3. The high incidence of unmarried mothers in the ""normal placental weight group"" of 400 g to 600 g compared to married mothers is not significant, the higher incidence of premature labor in unmarried women being due possibly, not to the weight of placenta, but rather primiparity, age under 20, and social class. 4. The higher frequency in the placental weight group up to and including 400 g of married compared to unmarried mothers, primiparae compared to secundiparae, primiparae and secundiparae compared to multiparae, working mothers compared to housewife mothers, and workers and farmerettes compared to both women doing other types of jobs and academically trained women was not found to be significant.",ger,0.8245779918481123
4,1169626,M1007504,Biographical situation of scoliotic children and their relationship to the social environment(author's transl).,"Studies were conducted to determine whenther or not scoliosis in childhood affects the behavior and experience of the affected children. Two groups of scoliotic and nonscoliotic children were examined with selected psychological tests. No differences could be found in regard to neuroticism, extraversion, manifest fear or the children's self-image. Differences were found in regard to the social environment which scoliotic children experienced as more demanding and supportive. As a result they were more concerned with achievement in a performance situation and more confident of success. The type and extent of the psychological effects of scoliosis is determined by the position accorded to the children by the social environment. Negative consequences can best be dealt with by educating the parents.",ger,0.8217978749583041
5,1349035,M1187739,Interactions between macromolecular adjuvants and drugs. 1. The tendency to associate between polyvinylalcohol and local anesthetics.,,ger,0.8179601893100453
6,1007034,M844778,Das National Institute for the Care of the Seriously Ill and Dying,,ger,0.8178720734339622
7,198877,M14648,An experimental and clinical pharmacological study of the influence of triamterene on the diuretic and saluretic properties of furosemide xantinol.,"The diuretic and saluretic effect of furosemide xantinol administered alone and mixed with different amounts of 2,4,7-triamino-6-phenylpteridine (triamterene) have been investigated in rat and man. The presence of triamterene resulted in a dose dependent inhibition of furosemide xantinol induced diuresis in both species. It was necessary to reduce the amount of triamterene present in the mixture to approximately half that of the one theoretically required according to considerations of the recommended therapeutic doses of the two diuretics before significant inhibition was avoided. Nevertheless, this reduced amount of triamterene proved sufficient to inhibit the distal tubular exchange of Na+ for K+ and H+ and a mixture formulated to give the ratio of 40 mg furosemide xantinol (as base) plus 25 mg triamterene (Salidur) was shown to produce a smooth but efficient loss of water and Na+ in the absence of detectable kaliuresis or reduction in urinary pH, thereby reducing the usual risk of inducing hypokalaemic alkalosis.",ger,0.8161790321800704
8,1154345,M992183,Influence of helio- and thalassotherapy on the vitamin A and Beta-carotene levels in psoriasis,,ger,0.814726470220169
9,326336,M144254,Health care delivery system in the USA: the dilemma of responsibility allocation between the individual and society (author's transl).,,ger,0.812944739007619
10,225329,M41515,"Solution of nutritional problems: the contribution of producers, distributors and nutritionists. Symposium organized by the Institute for Nutrition Research of the Green Meadow Foundation, Zürich, April 12--14, 1978.",,ger,0.8122280830673655
11,612636,M437467,On the problem of asymptomatic bacteriuria and the need for treatment after gynaecological operations (author's transl).,,ger,0.8117652534132744
12,1239791,M1077905,[The workplace of the dentist. Problems of organization and equipment].,,ger,0.810560519752991
13,1168768,M1006646,"%Incidence and determination of parasites in the organs of chicken, turkey, goose and duck during autopsy and slaughter.",,ger,0.8103362508919951
14,1230707,M1068780,"[Clinical studies on the effect of occlusal locks with a strength of 0,25 mm in the region of the Mm.pterygoidei].",,ger,0.8079207679078214
15,1144175,M981977,E1Socio-economic data concerning the early childhood and the actual life-situation of psychiatric out-patients.,"By means of a standarized social psychiatric questionnaire which was developed from the AMP-system and which forms the basis for a standardized case history used in our outpatient clinic, a random sample of 500 ambulant patients from the years 1970 and 1971 were examined concerning their socio-economic data. Patients of the age group of 20-24 years were overrepresented (p less than 0,05) as well as patients of the lower socio-economic classes and patients whose parents were less than 20 years old at the time of the patients' birth. The structure of the family in childhood showed significant differences concerning patients with different social contacts and different diagnoses. Patients who grew up in big families have themselves a relatively large number of children and vice versa (p less than 0,01). A significant correlation (p less than 0,01) consists also between the number of siblings of the patients and the socio-economic class they belong to: Patients from the underprivileged socio-economic classes mostly grew up in big families.",ger,0.8069914460654082
16,1080806,M918584,[Contribution to the effect of tri and tetracyclic antidepressive agents on heart and circulation].,,ger,0.8068091582688014
17,1428922,M1267756,"Studies on the flora of the genital - and nasal mucosa in horses, especially stallions with bacterial pathogens important in horse breeding and with special reference to klebsiellas. 2. Morphologic and biochemical studies on klebsiellas.",,ger,0.8063550734195246
18,130372,M28304707,[Induction of metamorphosis in planulae : II. Induction by monovalent cations: The significance of the Gibbs-Donnan ratio and of the Na,"1. The metamorphosis of the planulae ofHydractinia echinata (Hydrozoa) can be induced by a pulse-type (2-3 hrs) exposure to the ions of caesium, rubidium, lithium, and potassium. With mixtures of seawater with isoosmolar solutions of the chlorides of these ions the dose-response curves for Rb",ger,0.8029179955286897
19,316464,M134188,Investigations of the cell cycle of malignant tumors in oto-rhino-laryngology and their significance for cytostatic treatment (author's transl).,"45 patients with advanced malignant tumors in head and neck were treated with a cytostatic combination chemotherapy. In the beginning of cytostatic treatment surgical- and radiotherapy were no more possible. The duration of the generation-cycle of the tumor cells was determined autoradiographically with the double labelling method. Most of the patients showed a measurable diminution of tumors and a following stop of tumor growth. In spite of severe complications it was possible, to achieve a prolongation of live with a supportable feeling. A five year curing was not observed.",ger,0.802461128189555
20,1013597,M851341,The eye lens - some aspects of the radiation dose and protection of the patients and the personnel in pediatric radiology.,,fre,0.79495587040381
21,1732894,M1571867,"Toward the rational management of herpes infection in pregnant women and their newborn infants. Infectious Diseases and Immunization Committee, Canadian Paediatric Society.",,fre,0.7924045769984791
22,1654617,M1493572,Modelling of the qualitative discrimination of odours in the first two layers of olfactory system by Jutten and Hérault algorithm.,"The olfactory system discriminates many different odours although membrane receptors, and neuroreceptors that bear them, are only broadly tuned to volatile molecules. We investigated how mixed and redundant information carried by neuroreceptors could be efficiently coded by output neurons in the second neuronal layer in the brain. We showed that a good discrimination is yielded if neuroreceptors that terminate on the same output neuron belong to several types, if these types are in different proportions for each output neuron, and if each output neuron exerts an action on all others so that their independence is maximized, according to the Jutten and Hérault algorithm for separating linear mixtures of independent sources. The proposed model details the computations made by neurons and leads to a better understanding of several observed properties of the olfactory system, among which the inhibitory actions of local neurons of the second layer and the identifiability of insect glomeruli.",fre,0.7881414352933661
23,1555015,M1393928,Consensus statement from the workshop on the teaching and assessment of communication skills in Canadian medical schools.,,fre,0.7870499072152941
24,1161601,M999442,"Osseous fragility, amyotrophy, retarded development and degenerative lesions of the central nervous system. A new familial afflication.",,fre,0.7863577044935008
25,1634946,M1473898,In memoriam: a tribute to Jacques Werner. The role of the editor and secretary general: a dual challenge.,,fre,0.7824681395111499
26,930134,M755094,"Anatomical and neuroradiological study of the veins of the tentorium and the floor of the middle cranial fossa, and their drainage to dural sinuses.",,fre,0.7824579943550081
27,1799783,M1638786,The future of academic medicine within the health care system in Canada.,,fre,0.7803766953089992
28,1452150,M1291006,Guidelines for the investigation of individuals who were placed under surveillance for tuberculosis post-landing in Canada. Immigration and Overseas Health Services and the Bureau of Communicable Disease Epidemiology.,,fre,0.7795382247894638
29,448039,M268002,Role of the HL-A system in the transfusion of platelets and leukocytes.,,fre,0.7795037219097618
30,863240,M688173,The euthanasia of dogs and cats: a statement by the Humane Practices Committee of the Canadian Veterinary Medical Association.,,fre,0.7787643820911283
31,305326,M122731,The arterial circle of the base of the brain and its feeding vessels in certain mammals.,,fre,0.7783899213383356
32,852806,M677739,The small bowel enema. An improved method of examination and its indications in children.,,fre,0.7776632274429215
33,1619474,M1458420,"Guidelines for transfusion of erythrocytes to neonates and premature infants. Fetus and Newborn Committee, Canadian Paediatric Society.","The transfusion of erythrocytes to neonates and premature infants is common and should be minimized through a reduction in the number of blood samples taken for laboratory tests. The risks to patients have been minimized with current blood-banking techniques, although neonates and premature infants may require special consideration. The indications for transfusion of erythrocytes to neonates include the presence of shock, a loss of 10% or more of the blood volume within 72 hours when further blood sampling is expected, a hemoglobin level of less than 130 g/L in neonates with cardio-respiratory disease who require increased oxygen-carrying capacity, and a hemoglobin level of less than 80 to 100 g/L in neonates with tachypnea, tachycardia, recurrent apnea, poor feeding or failure to gain weight. The attending physician should consider these indications along with clinical judgement to ensure safe and effective erythrocyte transfusion.",fre,0.7776262249410509
34,460544,M280525,Clinical examination in dentofacial orthopedics and orthodontics for the use of the general practitioner.,,fre,0.7769800776710887
35,729068,M553951,The angiographic appearances of the normal intercostal and lumbar arteries. Analysis and the anatomic correlation of the lateral branches.,,fre,0.7763302247595889
36,1467488,M1306356,"Reductions in age-specific mortality among children and seniors in Canada and the United States, 1971-1989.","We compared mortality rates for children and seniors in Canada and the United States in 1971 and 1989. Children in Canada experienced a greater decrease in mortality during this period than did all children in the United States. In particular, while mortality rates for both boys and girls in Canada were higher than those for White children in the United States in 1971, in 1989 the rates for Canadian children were lower. Seniors in Canada experienced a similar or lesser reduction in age-specific mortality than did seniors in the United States. Even though senior women in the United States experienced a reduction in mortality comparable to that of senior women in Canada, Canadian senior women in general had lower level of mortality than their counterparts in the United States. Senior men in the United States experienced a relatively greater reduction than did their counterparts in Canada. The greater decline in mortality for senior men in the United States enabled them to catch up with the lower level of mortality for their Canadian counterparts in 1989. These general conclusions apply whether we compare the Canadian experience to that of the entire population or the White population in the United States. These trends in mortality reductions may reflect the fact that free universal Medicare is available for all ages in Canada, while most publicly-funded Medicare entitlements begin at age 65 in the United States.",fre,0.775453461275224
37,1386385,M1225161,[Roentgenologic evaluation of pulmonary arteries in normal babies and roentgen appearance of pulmonary vascularity in young infants with congenital heart diseases].,,fre,0.7751739209484081
