,Unnamed: 0,DBRECORDID,TITLE,ABSTRACT,LANGUAGE,cosine_scores
0,1212213,M1050216,Echokardiographie,,ger,1.0
1,1127032,M964829,Echokardiographie,Echocardiography makes possible the analysis of cardiac structures and their dynamics. The presence of valvular disease and its severity can be determined by evaluation of variations in the intensity of reflection and alterations in the motion of valvular structures. The echocardiographic representation of cardiac chambers permits the detection of congenital and acquired structural defects as well as an evaluation of ventricular function. Echocardiography provides a non-invasive means of diagnostic analysis throughout the spectrum of heart diseases and can replace a number of invasive diagnostic procedures.,ger,1.0
2,838846,M663773,Die Echokardiographie.,,ger,1.0
3,577362,M401936,Echokardiographie unter Herz- Kreislauf-Therapie,,ger,1.0
4,434548,M254505,Die Echokardiographie.,,ger,1.0
5,208785,M24788,Echokardiographie.,,ger,1.0
6,1359874,M1198585,Elektrokardiographie. Grundiagen der Elektrokardiographie (1),,ger,0.908289105532017
7,1761888,M1600871,Diagnostik der Mitralklappeninsuffizienz durch Echokardiographie.,,ger,0.904045522557731
8,1891136,M1730195,Echokardiographie in der Diagnostik der Lungenembolie.,,ger,0.8995837946919613
9,917134,M742090,Suprasternale Echokardiographie in der Diagnostik der Lungenembolie.,,ger,0.8995837946919613
10,617930,M442773,Echokardiographie in der nichtinvasiven kardiologischen Diagnostik.,,ger,0.8962823940529993
11,1080809,M918587,Die Echokardiographie in der Beurteilung der Ventrikelfunktion.,"The ultrasonic beam used for quantitative assessment of left ventricular (LV) function traverses the heart in a projection similar to the familiar angiographic left anterior oblique projection. It crosses the anterior wall of the right ventricle, the right ventricular cavity, the interventricular septum, the LV cavity and the posterior wall of the left ventricle. Whereas the cyclic changes of the right ventricular diameter are rarely clearly determined by echocardiography, the easily assessed cyclic changes of the LV endocardial transverse diameter are useful measure of LV FUNCTION. Of practical importance are the percentage of systolic shortening of the LV diameter (%Sh) and the mean velocity of circumferential fiber shortening (VCF). There are several factors, such as placing of the ultrasonic transducer, the shape and size of the LV cavity and rotational movements of the heart as a whole, that influence echocardiographic determination of the transverse LV diameter. In patients with asynergic contraction, %Sh and VCF cannot be used as measures of overall LV performance, but localized contraction disturbances of the septum and the posterior wall may be detected from the reduced extent of wall motion in a given LV segment during a full sweep from the base to the apex. The most important indications for echocardiographic assessment of LV function are valvar diseases with chronic LV pressure or volume overload, and congestive cardiomyopathy. Echocardiography has proved useful in serial evaluation of LV function in patients undergoing valvar heart surgery. Assessment of LV volume by standard echocardiography using the cubic formula is not satisfactory. More accurate determination of volumes is provided by formulas that include the actual ratio of the LV long axis to the minor axis.",ger,0.896024662724564
12,917223,M742179,Intrakardiale Elektrokardiographie.,,ger,0.8898574113794052
13,878645,M703583,Anwendungsmöglichkeiten der Echokardiographie.,,ger,0.8891707182020743
14,479238,M299226,Diagnostik der Adriamycin-Myocardiopathie mittels Echokardiographie.,"27 patients with a mean cumulative dose of 450 +/- 150 mg adriamycin for the treatment of solid malignoma and clinical symptoms of left heart failure are examined by echocardiography. 14 patients had an abnormal ejection fraction, 21 patients an abnormal mean circumferential fiber shortening and 4 patients presented with pericardial effusion. The results demonstrate that echocardiography is a safe, noninvasive and reliable method for diagnosing a reduced left ventricular function in patients treated with adriamycin.",ger,0.8859735754358645
15,1329866,M1168563,Klinische Anwendung der Echokardiographie,,ger,0.8833622760405846
16,1572092,M1411010,"Transösophageale Echokardiographie: Technik, Indikationen und Befunde.","The introduction of transesophageal echocardiography (TEE) as a 'semi-invasive' technique with few complications in clinical practice represents a major diagnostic advance in the evaluation of cardiac disease. The close anatomic vicinity of the transducer to the heart and thoracic aorta allows the use of high frequency devices with better resolution compared to transthoracic echocardiography. Furthermore, the diagnostic gain when evaluating structures that are poorly visualized by the transthoracic approach such as the left atrial appendage, interatrial septum, prosthetic valves and the thoracic aorta is highly improved by TEE. Major indications for TEE include the search for a cardiac source of embolism and cardiac tumors, the work-up prior to balloon mitral valvuloplasty, the evaluation of prosthetic valves and the search for vegetations and aortic dissection. After a short summary of patient preparation, instrumentation and examination technique, the major indications, contraindications and complications are reviewed on the basis of our own experience and the literature.",ger,0.8827895431022615
17,323909,M141790,Die Leistungsfähigkeit der Echokardiographie in der kardiologischen Vorfelddiagnostik.,The principle of the ultrasound examination of the heart is explained and the possible applications of this method are discussed. Three case histories are presented to exemplify the usefulness of echocardiography in clinical cardiology.,ger,0.8813187506780403
18,1158643,M996483,Das Elektrokardiogramm bei Schrittmacherpatienten,,ger,0.8798883857996401
19,843586,M668519,PQ-Verlagerung im Elektrokardiogramm.,,ger,0.8798883857996401
20,1602618,M1441559,Hemodynamic findings in migraine patients on transcranial Doppler sonography.,"Forty migraine patients were examined by means of 3D-transcranial Doppler scanning (TCD). The complete circle of Willis was investigated in all patients during headache-free intervals. TCD investigations were repeated in 10 patients during a migraine attack, in one patient twice. Based on the diagnostic criteria of the ""headache classification committee of the international headache society"" 23 patients were assigned to a ""migraine without aura"" group and 17 to a ""migraine with aura"" group. Twenty age-matched volunteers, not suffering from headache or any vascular disease, served as a control group. No significant differences were detected between the hemodynamic data of the control group and the migraine groups both with respect to the headache-free interval and the attack. No hemodynamic changes in keeping with the pathophysiologic hypothesis of vasospasm were found in the proximal segments of the basal cerebral arteries.",eng,0.7819642347295175
21,1850044,M1689095,Transesophageal echocardiography in the differential diagnosis of atrial neovascularity during coronary angiography.,,eng,0.7800604783468054
22,966846,M803436,Ultrasound cardiography in diagnosis of mitral insufficiency.,,eng,0.778406682883198
23,1895550,M1734609,Transesophageal echocardiography.,,eng,0.7774109371510214
24,1625991,M1464938,Transesophageal echocardiography.,,eng,0.7774109371510214
25,1602555,M1441498,Transesophageal echocardiography.,"The Council on Scientific Affairs of the California Medical Association presents the following inventory of items of progress in anesthesiology. Each item, in the judgment of a panel of knowledgeable physicians, has recently become reasonably firmly established, both as to scientific fact and important clinical significance. The items are presented in simple epitome, and an authoritative reference, both to the item itself and to the subject as a whole, is generally given for those who may be unfamiliar with a particular item. The purpose is to assist busy practitioners, students, researchers, and scholars to stay abreast of these items of progress in anesthesiology, that have recently achieved a substantial degree of authoritative acceptance, whether in their own field of special interest or another. The items of progress listed below were selected by the Advisory Panel to the Section on Anesthesiology of the California Medical Association, and the summaries were prepared under its direction.",eng,0.7774109371510214
26,836498,M661424,Electroencephalography and electromyography in the diagnosis of headache.,,eng,0.7769119389162309
27,598190,M423021,Noninvasive assessment of surgical systemic to pulmonary artery shunts by range-gated pulsed Doppler echocardiography.,"Suprasternal range-gated pulsed Doppler echocardiography was used to evaluate surgical shunt patency in children with cyanotic congenital heart disease and right ventricular outflow obstruction following systemic artery to pulmonary artery anastomoses. Normal patients had laminar Doppler auditory signals and time interval histogram flow patterns because right pulmonary artery turbulence was not present during systole or diastole. Patients with pulmonary valvar stenosis had turbulence during systole only. In all nine postoperative patients with surgical shunts, turbulent systolic and diastolic time interval histograms and abnormal auditory signals were present. A typical shunt murmur was not audible to auscultation in six of the postsurgical patients at the time of the study. Suprasternal range-gated pulsed Doppler echocardiography affords an accurate, safe and simple noninvasive bedside means for confirming shunt patency in patients who have undergone surgical systemic artery to pulmonary artery anastomoses.",eng,0.7741722720887597
28,863213,M688146,Detection of pericardial effusion by chest roentgenography and electrocardiography versus echocardiography.,"To determine the sensitivity and specificity of chest roentgenography and electrocardiography in the detection of pericardial effusion, echocardiography was used as the diagnostic standard. Chest roentgenograms and electrocardiograms of 124 patients, 57 of whom had pericardial effusion, were read without knowledge of the echocardiographic interpretation. The sensitivity of roentgenographic diagnosis was low (20%), as was that of diagnosis from decreased voltage on the electrocardiogram (26%). The specificity of the chest roentgenogram was 89% and that of the low-voltage electrocardiogram 97%. The high specificity of the low-voltage electrocardiogram may have been due in part to the exclusion of obese and emphysematous subjects from the study. When cardiomegaly detected roentgenographically or a low-voltage electrocardiogram or both were considered as evidence of pericardial effusion, sensitivity improved to 82% but specificity declined to 29%. It is concluded the chest roentgenography and electrocardiography are unsatisfactory as screening investigations for the detection of pericardial effusion.",eng,0.7740168480547233
29,640382,M465228,Thallium-201 scintigraphy in diagnosis of coronary stenosis. Comparison with electrocardiography and coronary arteriography.,,eng,0.7739178357273233
