,DBRECORDID,TITLE,ABSTRACT,LANGUAGE,cosine_scores
1661968,M1500927,R & R fatigue.,,eng,1.0
1209215,M1047215,Fatigue.,,eng,1.0
1919720,M1758789,Activity and post-polio fatigue.,Fatigue was studied in 12 subjects with post-polio sequelae (PPS). Results of the Fatigue Severity Scale (FSS) demonstrated a mean score of 4.8 +/- 1.6 (non-disabled scores = 2.3 +/- 0.7). The Human Activity Profile (HAP) was not sensitive enough to measure fatigue. Fifty percent of subjects scored below the first percentile based on age and sex matched norms. The Activity Record (ACTRE) results revealed that subjects spent 5% of their time resting and 1% in planning or preparation activities. Fatigue peaked in the late morning or early afternoon and was relieved by rest periods. Use of energy conservation and work simplification skills along with frequent rest periods was suggested as a possible method for managing PPS fatigue.,eng,0.9466014723389323
1594135,M1433056,The measurement of fatigue and chronic fatigue syndrome.,,eng,0.9267110166131266
705156,M530021,Muscle fatigue.,,eng,0.910297253019185
1044749,M882496,The fatigue syndrome.,,eng,0.909495457314357
125905,M28186393,Chronic fatigue in Ehlers-Danlos syndrome-Hypermobile type.,"Chronic fatigue is an important contributor to impaired health-related quality of life in Ehlers-Danlos syndrome. There is overlap in the symptoms and findings of EDS and chronic fatigue syndrome. A proportion of those with CFS likely have EDS that has not been identified. The evaluation of chronic fatigue in EDS needs to include a careful clinical examination and laboratory testing to exclude common causes of fatigue including anemia, hypothyroidisim, and chronic infection, as well as dysfunction of major physiological or organ systems. Other problems that commonly contribute to fatigue in EDS include sleep disorders, chronic pain, deconditioning, cardiovascular autonomic dysfunction, bowel and bladder dysfunction, psychological issues, and nutritional deficiencies. While there is no specific pharmacological treatment for fatigue, many medications are effective for specific symptoms (such as headache, menstrual dysfunction, or myalgia) and for co-morbid conditions that result in fatigue, including orthostatic intolerance and insomnia. Comprehensive treatment of fatigue needs to also evaluate for biomechanical problems that are common in EDS, and usually involves skilled physical therapy and attention to methods to prevent deconditioning. In addition to managing specific symptoms, treatment of fatigue in EDS also needs to focus on maintaining function and providing social, physical, and nutritional support, as well as providing on-going medical evaluation of new problems and review of new evidence about proposed treatments. © 2017 Wiley Periodicals, Inc.",eng,0.8918999047641691
1395317,M1234116,Fatigue fractures.,,eng,0.8846281615683195
450967,M270931,The effects of exercise-training on the development of fatigue.,,eng,0.8830908941639809
1968068,M1807319,Chronic fatigue syndrome.,,eng,0.8820086525540238
1968067,M1807318,Chronic fatigue syndrome.,,eng,0.8820086525540238
1968066,M1807317,Chronic fatigue syndrome.,,eng,0.8820086525540238
1924932,M1764001,Chronic fatigue syndrome.,,eng,0.8820086525540238
1902764,M1741823,Chronic fatigue syndrome.,,eng,0.8820086525540238
1899774,M1738833,Chronic fatigue syndrome.,,eng,0.8820086525540238
1803630,M1642633,Chronic fatigue syndrome.,,eng,0.8820086525540238
1789482,M1628478,Chronic fatigue syndrome.,"Chronic Fatigue Syndrome appears to represent a spectrum of disorders in which a variety of pathophysiological mechanisms may operate. While the initiating event in the majority of patients is a pyrexial illness, possibly due to enterovirus infection, evidence of persisting infection or inflammatory changes in muscle and/or brain remain unconvincing. CFS patients display a definite reduced aerobic work capacity compared to normal control subjects, but this may reflect a state of deconditioning resulting from prolonged physical inactivity. They also have an altered perception of their level of exertion and premorbid fitness. The characteristic fluctuation in symptoms, with periods of relapses and partial remissions, may indicate that some central disorder of sensory perception is operational. It may be that a primary sleep disorder results in a reduced sensory threshold for afferent stimuli from muscle. This could well account for many of the subjective symptoms which patients experience. Much more research is clearly necessary if we are to achieve a better understanding of this distressing and at present enigmatic disorder.",eng,0.8820086525540238
1780349,M1619343,Chronic fatigue syndrome.,"The chronic fatigue syndrome (CFS) is a poorly understood condition with nonspecific signs and symptoms, especially debilitating fatigue. Most patients can pinpoint the onset of their illness and usually describe a flu-like state. The search for an etiologic agent has focused on a number of viruses such as Epstein-Barr, enteroviruses, retroviruses, and human herpesvirus-6. Evidence supports persistent viral infection in a small percentage of CFS patients. Immunologic abnormalities do exist in CFS, which indicate the presence of immune activation in CFS patients. Although abnormal muscle biopsies have been found in some patients with CFS, strength and endurance appear normal, but perception of exertion may be abnormal. Patients with chronic fatigue have a high incidence of premorbid and concurrent psychiatric disorders, and on physical examination many often have reproducible tender points similar to fibromyalgic patients. Clinical evaluation should rule out other potential causes of fatigue, but elaborate diagnostic tests are seldom required. Presently, no specific treatment exists for CFS. A cognitive behavioral approach with or without the use of tricyclics has been advocated. Patients should be encouraged to maintain functional status and should not be discouraged from exercise. Several medications have been tried but with no definite clinical benefit.",eng,0.8820086525540238
1771468,M1610457,Chronic fatigue syndrome.,,eng,0.8820086525540238
1747558,M1586539,Chronic fatigue syndrome.,,eng,0.8820086525540238
