,DBRECORDID,TITLE,ABSTRACT,LANGUAGE,cosine_scores
1159864,M997705,Ein Prozessrechnersystem für Herzkatheterlabor und Hämodynamikmessplätze,"In cooperation with the Department of Electronic Data Processing Systems we have developed a data processing unit for the analysis of hemodynamic data at the Department of Internal Medicine I. The aim was to design a computer-system for the daily routine in heart-catheterizations as well as for the solution of scientific problems during hemodynamic studies. In the on-line-mode besides the ECG up to four pressures can be analysed simultaneously. Analog and digital tapes can also be processed off-line on demand. The concept of the whole system and the individual steps of computer-handling are adjusted to the problems of data-analysis in praxis from the viewpoint of the examining cardiologist. Since the system is interactive after each measurement and each given command the computer-results are displayed on the video-scope. Because of the modular structure of the program new medical criteria can easily be implemented at any time. Since the computer-system is not effectively used with only one cath-lab other units possibly of different hard-ware configuration can be connected simultaneously to the computer. Each cath-lab shares 16 K out of the total 32 K core-memory. The results are displayed graphically and alpha-numerically on video-scope, x-y-plotter and line printer. The sampling-rate for fluid-filled catheters is 200 Hz and for catheter-tip-manometers 400 Hz. Smothing and differentiation-procedures are adapted to the respective catheter-material. The computer-program calibrates the different pressure amplifiers automatically. After defining the catheter-position the pressure-signals are sampled for 10 s and immediately afterwards analyzed by the computer. The ECG and the corresponding pressure-curves are displayed on the video-scope. The automatically selected representative beat as well as each of the identified and numerated other beats of the sampling-phase can be displayed selectively together with its numerical results. The computer marks the positions within the pressure-curves, where the individual measurements were taken. Besides the systolic and diastolic pressures in valvular stenosis the maximal and mean systolic or diastolic gradients, ejection- or filling-period, valve-flow and valve-area are calculated autonomously. The calculation of cardiac-output, different volume-indices and stroke-work-index are based on Fick-method, thermo- or indicator-dilution technique. The contractility-parameters max dp/dt, t-max dp/dt, max dp/dt/DP, max dp/dt/P, VPM, V40, min dp/dt and the stiffness are computed for the left and on demand also for the right ventricle. Data of the patient and the operating-team, catheter-technique, complications and free comments are transmitted to the computer via terminal together with the actual time. The computer-system was drafted for permanent use. Therefore possible technical defects have been anticipated in the design of hard- and soft-ware. In cases of failure suitable steps allow the immediate restart of the system without loosing information...",ger,0.9120077177067006
636928,M461773,Komplikationen venöser Verweilkatheter im Thorax-Röntgenbild.,"The increasing use of central venous catheters requires knowledge of possible hazards. Complications such as pneumothorax, hemothorax, hematomas in the chest wall or mediastinum and pulmonary emboli caused by the catheter are easily seen on plain chest films. Cardiac tamponade, perforation of vessels, air emboli and thrombosis have to be considered as a possible cause in case of sudden deterioration of a patient.",ger,0.8361466790560995
1707523,M1546486,Komplikationen zentralvenöser Katheter bei Patienten mit hämatologischen Erkrankungen.,,ger,0.8226400148964568
1123132,M960927,Lebervenographie mit Ballonkatheter nach portokavalem End-zu-Seit-Shunt und bei Leberzirrhose,,ger,0.8218235543236658
324162,M142043,Präoperative Nierenarterienblockade mit Ballonkatheter.,"Renal artery occlusion with a balloon catheter introduced by the transfemoral route makes nephrectomy for tumour much easier. Advantages of vascular occlusion are a bloodless field and shrinking of the kidney with a significant reduction of blood loss during the operation. In addition, operative displacement of tumour thrombus is largely avoided.",ger,0.8202247800777259
1596884,M1435805,Perkutane Silastic-Katheter bei Neu- und Frühgeborenen. Ein Erfahrungsbericht über 497 Katheter in 5 Jahren.,"Background and methods!#!Central catheters are an important prerequisite for adequate parenteral nutrition in preterm infants. However, a variety of complications have been shown to be associated with central lines: septicemica, thrombotic complications, mechanical complications. In this retrospective analysis we summarize our recent experience with central silastic catheters.!##!Results!#!Within a five-year-period (1986-1990). 497 silastic-catheters were inserted in 366 high risk neonates (mean birthweight 1360 g; 1060-1740 g, 25.-75. percentile) treated at the NICU, Department of Pediatrics, University of Göttingen. 451 catheters which were placed in a central position, were removed after an average duration of 11 days (mean; 8-18 days, 25.-75. percentile). During the observation period, 62.8 percent of the catheters were purposely removed. Making use of the Kaplan-Meier-curve, we calculated how long the catheter could stay without complications; 50% of all catheters could be expected to be in place for 25 days. The incidence of septicemia was 1.9%, bacterial contamination of the catheters was evident in 22% of all central lines. The most predominant microorganisms responsible for catheter-contamination were coagulase-negative staphylococci. In addition, catheters were removed because of signs of phlebitis or suspected thrombotic complications (11.1%), and mechanical complications (dislocation, occlusion; 11.7%). Due to malposition of the central catheter two preterm infants developed pericardial effusions. There was no correlation between the site where the catheter was inserted and these complications.!##!Conclusion!#!Central silastic catheters wherever clinically indicated are a valuable adjunct in the parenteral nutrition on high risk neonates.",ger,0.815073919086166
162129,M28321727,Wann zum Herzkatheter überweisen?,,ger,0.8143898297369146
1130001,M967798,Lagebestimmung zentralvenöser Katheter durch intrakardiale EKG-Ableitung,It is reported on the electrocardiographical method for the location of the position of central-venous catheter. The advantages of this method compared to the usual radiological method: immediate correction is possible no additional apparat is needed.,ger,0.8106186578295289
1104242,M942036,Therapie bei Duraperforation mit Katheter während Peridural anaesthesie in der Geburtshilfe,A rare complication following a dural tap in labour is reported: cerebrospinal fluid was aspirated although a catheter was properly re-inserted into the peridural space. The most successful therapy is proposed.,ger,0.8086719915593701
1234511,M1072590,Thrombektomie--chirurgische Therapie venöser Thrombosen.,,ger,0.8083592741874479
1705388,M1544351,Kollagenapplikation zum Verschluss der arteriellen Punktionsstelle nach Herzkatheterisierung.,"Percutaneously introduced absorbable purified bovine collagen was used to plug the hole at the site of femoral arterial puncture in 50 patients (42 men, 8 women; median age 58 [22-75] after percutaneous coronary angiography (n = 32; heparin dosage 100 IU/kg) or transluminal coronary balloon dilatation (n = 18; heparin dosage 200 U/kg). Local bleeding ceased after compression of 4 min in 48 of the 50 patients. A pressure bandage was needed additionally in the other two. Bed-rest lasted for 1-24 (median 19) hours. A haematoma of more than 6 cm diameter developed in five patients, but required neither transfusion nor surgical intervention. 39 of the 50 patients were re-examined after a median of 39 days: all of them had had a small pain-free swelling for 2-6 weeks over the puncture site. One patient developed a deep-vein thrombosis one week after the procedure, in another fever occurred after the same period, lasting for two days. These early findings are encouraging. The method may significantly shorten the time of arterial compression and bed-rest, as well as reduce the risk of a large haematoma after arterial punctures.",ger,0.8082881233625767
1925520,M1764589,Magnetresonanztomographie bei Patienten mit Herzklappenersatz.,"Artificial valve prostheses are often regarded as a contraindication for magnetic resonance imaging (MRI), although preliminary in vitro studies suggested, that patients with these metallic implants might safely undergo MR examination. This study reports on the experience with a group of 89 patients with 100 heart valve prostheses who were examined by spin-echo MR and gradient-echo MR. MR examination was performed in all patients without complications. The spin-echo sequence showed advantages in the depiction of anatomical structures like paravalvular abscesses. Anatomical structures adjacent to the artificial valve were clearly visible and the metal components of the valves showed no or only small artifacts. Artifacts were accentuated when using gradient-echo sequences. Gradient-echo sequences provided valuable information regarding the presence of valvular insufficiency. Physiological valvular regurgitation was easy to differentiate from pathological paravalvular or transvalvular regurgitation. These results demonstrate that patients with artificial valve prostheses can be imaged by MR without risk and that prosthesis-induced artifacts do no interfere with image interpretation.",ger,0.8065700044345254
1084060,M921842,Die Behandlung der Karotis-Kavernosus-Fistel mit dem Ballonkatheter nach Serbinenko.,"After a critical survey of the methods of treating carotid-cavernosus fistulae employed until now and some special techniques, the endovasal method using the flow-in catheter with droppable microinflator after Serbinenko is described. In this technique, a latex inflator is filled intracavitarily with cold-vulcanized silicon rubber by the transcutaneous-transcarotidal route and left in situ for a selective closure of the fistula. 3 cases treated by the author with late results show the advantages of the method by which the carotid can be reconstructed.",ger,0.8048854782393605
307270,M124680,Karotis-Kavernosus-Fistel - Behandlung mit einem Ballonkatheter,"A relatively simple method for the intra-vascular treatment of a carotid-cavernous fistula is described and illustrated in one case. It consists of proximal ligation of the internal carotid artery and occlusion of the carotid syphon with a balloon catheter above the fistula. In this way, the carotid segment with the fistula is isolated from the circulation and therefore undergoes thrombosis. Close co-operation between radiologist and surgeon is required.",ger,0.8048854782393605
311919,M129409,Erfahrungen mit einem lenkbaren Katheter in der Angiographie und Bronchographie,"Despite certain disadvantages, depending partly on the design of the catheter and partly on other problems, a guidable catheter is, in many cases, the only means for achieving a successful angiographic examination. The guidable catheter is therefore a valuable addition to the equipment used for angiography.",ger,0.8018495831113017
1794202,M1633205,Die Reanimation von Patienten mit dem kardiopulmonalen Bypass.,"The use of cardiopulmonary bypass within the framework of resuscitation justifies hopes for better results after cardiovascular arrest. By restituting sufficient cardiovascular conditions both the global and especially the cerebral blood flow situation are improved, so that, in turn, better neurological results can be expected after cardiopulmonary resuscitation. However, further decisive successes by using the cardiopulmonary bypass can be expected only in connection with new therapeutic concepts of reanimation.",ger,0.7997429470276005
669595,M494449,Transurethrale Elektroresektion bei Patienten mit Herzschrittmachern.,"Transurethral electro-resection of prostate and bladder in patients with cardiac pacemakers shows no higher risk in comparison with other patients as long as pre, intra- and postsurgical monitoring is strictly performed. The monitoring of intraoperative blood-loss as well as the use of a monitor, which shows no disturbances using high-frequency-current, is essential for the intraoperative control. At the Department of Urology, University Hospital r. d. Isar, Munich, Germany, 33 patients with cardiac pacemakers underwent transurethral surgery without any complications.",ger,0.7993023254100643
