,DBRECORDID,TITLE,ABSTRACT,LANGUAGE,cosine_scores
1159864,M997705,Ein Prozessrechnersystem für Herzkatheterlabor und Hämodynamikmessplätze,"In cooperation with the Department of Electronic Data Processing Systems we have developed a data processing unit for the analysis of hemodynamic data at the Department of Internal Medicine I. The aim was to design a computer-system for the daily routine in heart-catheterizations as well as for the solution of scientific problems during hemodynamic studies. In the on-line-mode besides the ECG up to four pressures can be analysed simultaneously. Analog and digital tapes can also be processed off-line on demand. The concept of the whole system and the individual steps of computer-handling are adjusted to the problems of data-analysis in praxis from the viewpoint of the examining cardiologist. Since the system is interactive after each measurement and each given command the computer-results are displayed on the video-scope. Because of the modular structure of the program new medical criteria can easily be implemented at any time. Since the computer-system is not effectively used with only one cath-lab other units possibly of different hard-ware configuration can be connected simultaneously to the computer. Each cath-lab shares 16 K out of the total 32 K core-memory. The results are displayed graphically and alpha-numerically on video-scope, x-y-plotter and line printer. The sampling-rate for fluid-filled catheters is 200 Hz and for catheter-tip-manometers 400 Hz. Smothing and differentiation-procedures are adapted to the respective catheter-material. The computer-program calibrates the different pressure amplifiers automatically. After defining the catheter-position the pressure-signals are sampled for 10 s and immediately afterwards analyzed by the computer. The ECG and the corresponding pressure-curves are displayed on the video-scope. The automatically selected representative beat as well as each of the identified and numerated other beats of the sampling-phase can be displayed selectively together with its numerical results. The computer marks the positions within the pressure-curves, where the individual measurements were taken. Besides the systolic and diastolic pressures in valvular stenosis the maximal and mean systolic or diastolic gradients, ejection- or filling-period, valve-flow and valve-area are calculated autonomously. The calculation of cardiac-output, different volume-indices and stroke-work-index are based on Fick-method, thermo- or indicator-dilution technique. The contractility-parameters max dp/dt, t-max dp/dt, max dp/dt/DP, max dp/dt/P, VPM, V40, min dp/dt and the stiffness are computed for the left and on demand also for the right ventricle. Data of the patient and the operating-team, catheter-technique, complications and free comments are transmitted to the computer via terminal together with the actual time. The computer-system was drafted for permanent use. Therefore possible technical defects have been anticipated in the design of hard- and soft-ware. In cases of failure suitable steps allow the immediate restart of the system without loosing information...",ger,0.9120077177067006
636928,M461773,Komplikationen venöser Verweilkatheter im Thorax-Röntgenbild.,"The increasing use of central venous catheters requires knowledge of possible hazards. Complications such as pneumothorax, hemothorax, hematomas in the chest wall or mediastinum and pulmonary emboli caused by the catheter are easily seen on plain chest films. Cardiac tamponade, perforation of vessels, air emboli and thrombosis have to be considered as a possible cause in case of sudden deterioration of a patient.",ger,0.8481548382048112
1084060,M921842,Die Behandlung der Karotis-Kavernosus-Fistel mit dem Ballonkatheter nach Serbinenko.,"After a critical survey of the methods of treating carotid-cavernosus fistulae employed until now and some special techniques, the endovasal method using the flow-in catheter with droppable microinflator after Serbinenko is described. In this technique, a latex inflator is filled intracavitarily with cold-vulcanized silicon rubber by the transcutaneous-transcarotidal route and left in situ for a selective closure of the fistula. 3 cases treated by the author with late results show the advantages of the method by which the carotid can be reconstructed.",ger,0.8448908919285825
307270,M124680,Karotis-Kavernosus-Fistel - Behandlung mit einem Ballonkatheter,"A relatively simple method for the intra-vascular treatment of a carotid-cavernous fistula is described and illustrated in one case. It consists of proximal ligation of the internal carotid artery and occlusion of the carotid syphon with a balloon catheter above the fistula. In this way, the carotid segment with the fistula is isolated from the circulation and therefore undergoes thrombosis. Close co-operation between radiologist and surgeon is required.",ger,0.8448908919285825
162129,M28321727,Wann zum Herzkatheter überweisen?,,ger,0.8446724943847906
1707523,M1546486,Komplikationen zentralvenöser Katheter bei Patienten mit hämatologischen Erkrankungen.,,ger,0.842535520524636
1123132,M960927,Lebervenographie mit Ballonkatheter nach portokavalem End-zu-Seit-Shunt und bei Leberzirrhose,,ger,0.8407078578710769
1596884,M1435805,Perkutane Silastic-Katheter bei Neu- und Frühgeborenen. Ein Erfahrungsbericht über 497 Katheter in 5 Jahren.,"Background and methods!#!Central catheters are an important prerequisite for adequate parenteral nutrition in preterm infants. However, a variety of complications have been shown to be associated with central lines: septicemica, thrombotic complications, mechanical complications. In this retrospective analysis we summarize our recent experience with central silastic catheters.!##!Results!#!Within a five-year-period (1986-1990). 497 silastic-catheters were inserted in 366 high risk neonates (mean birthweight 1360 g; 1060-1740 g, 25.-75. percentile) treated at the NICU, Department of Pediatrics, University of Göttingen. 451 catheters which were placed in a central position, were removed after an average duration of 11 days (mean; 8-18 days, 25.-75. percentile). During the observation period, 62.8 percent of the catheters were purposely removed. Making use of the Kaplan-Meier-curve, we calculated how long the catheter could stay without complications; 50% of all catheters could be expected to be in place for 25 days. The incidence of septicemia was 1.9%, bacterial contamination of the catheters was evident in 22% of all central lines. The most predominant microorganisms responsible for catheter-contamination were coagulase-negative staphylococci. In addition, catheters were removed because of signs of phlebitis or suspected thrombotic complications (11.1%), and mechanical complications (dislocation, occlusion; 11.7%). Due to malposition of the central catheter two preterm infants developed pericardial effusions. There was no correlation between the site where the catheter was inserted and these complications.!##!Conclusion!#!Central silastic catheters wherever clinically indicated are a valuable adjunct in the parenteral nutrition on high risk neonates.",ger,0.8396142578645349
324162,M142043,Präoperative Nierenarterienblockade mit Ballonkatheter.,"Renal artery occlusion with a balloon catheter introduced by the transfemoral route makes nephrectomy for tumour much easier. Advantages of vascular occlusion are a bloodless field and shrinking of the kidney with a significant reduction of blood loss during the operation. In addition, operative displacement of tumour thrombus is largely avoided.",ger,0.8330189847713475
1104242,M942036,Therapie bei Duraperforation mit Katheter während Peridural anaesthesie in der Geburtshilfe,A rare complication following a dural tap in labour is reported: cerebrospinal fluid was aspirated although a catheter was properly re-inserted into the peridural space. The most successful therapy is proposed.,ger,0.8315279842376845
1705388,M1544351,Kollagenapplikation zum Verschluss der arteriellen Punktionsstelle nach Herzkatheterisierung.,"Percutaneously introduced absorbable purified bovine collagen was used to plug the hole at the site of femoral arterial puncture in 50 patients (42 men, 8 women; median age 58 [22-75] after percutaneous coronary angiography (n = 32; heparin dosage 100 IU/kg) or transluminal coronary balloon dilatation (n = 18; heparin dosage 200 U/kg). Local bleeding ceased after compression of 4 min in 48 of the 50 patients. A pressure bandage was needed additionally in the other two. Bed-rest lasted for 1-24 (median 19) hours. A haematoma of more than 6 cm diameter developed in five patients, but required neither transfusion nor surgical intervention. 39 of the 50 patients were re-examined after a median of 39 days: all of them had had a small pain-free swelling for 2-6 weeks over the puncture site. One patient developed a deep-vein thrombosis one week after the procedure, in another fever occurred after the same period, lasting for two days. These early findings are encouraging. The method may significantly shorten the time of arterial compression and bed-rest, as well as reduce the risk of a large haematoma after arterial punctures.",ger,0.8182452591359769
1357368,M1196077,Behandlung mit Kathetern bei peripheren arteriellen Durchblutungsstörungen,,ger,0.8179275218357348
1234511,M1072590,Thrombektomie--chirurgische Therapie venöser Thrombosen.,,ger,0.8126362626921082
1925520,M1764589,Magnetresonanztomographie bei Patienten mit Herzklappenersatz.,"Artificial valve prostheses are often regarded as a contraindication for magnetic resonance imaging (MRI), although preliminary in vitro studies suggested, that patients with these metallic implants might safely undergo MR examination. This study reports on the experience with a group of 89 patients with 100 heart valve prostheses who were examined by spin-echo MR and gradient-echo MR. MR examination was performed in all patients without complications. The spin-echo sequence showed advantages in the depiction of anatomical structures like paravalvular abscesses. Anatomical structures adjacent to the artificial valve were clearly visible and the metal components of the valves showed no or only small artifacts. Artifacts were accentuated when using gradient-echo sequences. Gradient-echo sequences provided valuable information regarding the presence of valvular insufficiency. Physiological valvular regurgitation was easy to differentiate from pathological paravalvular or transvalvular regurgitation. These results demonstrate that patients with artificial valve prostheses can be imaged by MR without risk and that prosthesis-induced artifacts do no interfere with image interpretation.",ger,0.8121159290388509
917743,M742699,Herzbeuteltamponade nach Ventrikelperforation durch zentrale Venenkatheter und Reizsonden.,"Two cases of cardiac tamponade after perforation of the right ventricle by central venous catheter and transvenous pacemaker are reported. The apex of the right ventricle represents a ""locus minoris resistentiae"" for a perforation because of its thin wall and frequent infiltration of fat with relaxation of the small muscle bundle. An analysis of 41 heart perforations by central venous catheters and 47 by transvenous pacemakers from the literature demonstrates the particularly high mortality of the perforation by a central venous catheter referring to the possible production of hydropericardium. We think that extreme carefulness in the use of catheters, knowledge of the danger and vigorous treatment could reduce the mortality.",ger,0.8060056649652303
1670835,M1509797,Linksventrikuläre Katheterablation des AV-Uberleitungssystems mit Radiofrequenzstrom.,"We report on a 32-year-old female patient with a history of recurrent atrial fibrillation and rapid ventricular response (up to 240 beats/min) resistant to multiple drug therapy. In this patient, we successfully performed a radiofrequency catheter ablation of the atrioventricular (AV) junction from the left ventricle, after radiofrequency energy application in His-position above the tricuspid valve was unsuccessful. This technique offers an-alternative treatment in patients in whom the conventional right-sided catheter ablation of the AV junction proves ineffective.",ger,0.805049586690346
996721,M834459,Indikation zur Herzkatheteruntersuchung bei angeborenen Herzgefässanomalien,This brief report shows that the age for absolutely necessary investigation depends on the kind of symptoms of congenital heart disease. This indication for heart catheterization and angiocardiography is given with respect to the operative possibilities.,ger,0.8030075151857538
311919,M129409,Erfahrungen mit einem lenkbaren Katheter in der Angiographie und Bronchographie,"Despite certain disadvantages, depending partly on the design of the catheter and partly on other problems, a guidable catheter is, in many cases, the only means for achieving a successful angiographic examination. The guidable catheter is therefore a valuable addition to the equipment used for angiography.",ger,0.8029080508592206
1926275,M1765344,Kardiologische Diagnostik bei arteriellen Embolien.,"Potential cardiac sources of arterial embolism are in particular thrombi within the left atrium or ventricle, or attached to a prosthetic valve, intracardiac tumors, and vegetations due to endocarditis. Patent foramen ovale and atrial septal defect may lead to paradoxical embolism, and spontaneous echo contrast within the heart has to be considered as a parameter of increased thromboembolic risk. In rare cases, atrial septal aneurysm, mitral valve prolapse or annulus calcification and calcified aortic stenosis has to be taken into consideration. Current method of choice for diagnosis of these abnormalities is echocardiography. When the transthoracic approach fails, transesophageal echocardiography (TEE) leads to a definite diagnosis in most cases. Precordial echocardiography allows the detection of left ventricular thrombi with a sensitivity ranging between 72 and 95%, and monoplane TEE does usually not increase these numbers. In contrast, thrombi within the left atrium and particularly in the left atrial appendage can be detected with a significantly higher detection rate when TEE is used. The same is true for spontaneous echo contrast in the left atrium, a phenomenon which is almost exclusively diagnosed by TEE, as well as for endocarditis associated vegetations that can be identified by TEE with a sensitivity higher than 90%. Patient foramen ovale is usually diagnosed by precordial contrast echocardiography combined with a Valsalva maneuver; color Doppler or contrast TEE allows to increase the detection rate. In the diagnosis of prosthetic valve attached thrombi and vegetations, TEE is clearly superior compared to the precordial examination, at least concerning prosthetic devices in mitral position. If echocardiography fails to identify a potential cardiac source of embolism, other techniques don't add significant information in most cases. Detection of a potential source of embolism, however, does not necessarily prove that the particular finding represents the true etiology of an embolic event; results of all clinical and technical examinations have to be evaluated in a critical synopsis. In addition, proper therapeutic consequences in quite a number of abnormalities considered as potential cardiac sources of embolism are not yet defined.",ger,0.8027111613855485
1130001,M967798,Lagebestimmung zentralvenöser Katheter durch intrakardiale EKG-Ableitung,It is reported on the electrocardiographical method for the location of the position of central-venous catheter. The advantages of this method compared to the usual radiological method: immediate correction is possible no additional apparat is needed.,ger,0.802390147077786
1994762,M1834032,Percutaneous transluminal subclavian angioplasty in a patient with postoperative angina.,"Subclavian artery stenosis is a rare cause of angina in patients who have undergone coronary revascularization using the internal mammary artery. The traditional approach to this problem is surgical revascularization of the subclavian artery with a bypass graft. We report the successful treatment of a patient with this condition using percutaneous transluminal subclavian artery angioplasty, obviating an additional surgical procedure.",eng,0.7594333551938433
629361,M454205,Percutaneous transluminal coronary angioplasty: can cardiac catheterization be therapeutic?,,eng,0.7538225699674839
1692810,M1531772,Percutaneous transluminal angioplasty for transplant renal artery stenosis.,"A recent report has challenged the efficacy and safety of percutaneous transluminal angioplasty (PTA) for the treatment of transplant renal artery stenosis (TRAS). From January 1983 to December 1990, 24 PTA procedures were performed for TRAS in 18 patients. The stenoses were anastomotic in two cases, in the main renal artery in 14, and segmental in eight. After PTA, the residual stenosis was less than 20% in 14 (58%), 20%-50% in four (17%), and greater than 50% in six (25%). The mean diastolic blood pressure decreased from 106 mm Hg 1 day prior to PTA to 82 mm Hg 1 day after PTA. Long-term follow-up mean diastolic blood pressure (at 2-32 months) was 93 mm Hg (P less than .01). Eleven of the 18 patients (63%) had a 10% or greater reduction in diastolic blood pressure on long-term follow-up. Major complications occurred in two patients; one groin hematoma required surgical evacuation, and one polar infarct led to hypertension that was difficult to control. No surgical revisions of the transplant renal artery were necessary. The authors' data indicate that PTA should remain the treatment of choice for nonanastomotic TRAS.",eng,0.7520546178240629
