,Unnamed: 0,DBRECORDID,TITLE,ABSTRACT,LANGUAGE,cosine_scores
0,1839117,M1678156,Pflegeplanung in der Psychiatrie.,,ger,0.7844574145308062
1,1212657,M1050661,Das Krankenhaus und der sozialmedizinische Pflegedienst,,ger,0.7794232121445855
2,374813,M194106,Die Pflegeplanung in der Intensivpflege,,ger,0.7789081290437985
3,1453445,M1292301,Betriebswirtschaftliche Prüfung im Krankenhaus. Ergebnisse aus vier Neurochirurgischen Kliniken.,An audit of economicalness performed by one company from 1980 to 1985 in four neurosurgical departments is presented. The report is restricted to medical care. There is a considerable difference in findings: in the department first looked at there are 3.8 patients per surgeon and in the 1985 examination 5.4. These departments being well comparable otherwise both judgement and competence of the business consultants involved must be questioned.,ger,0.7756577203572401
4,814792,M639715,UV-strahler in der Krankenhaushygiene.,,ger,0.7735111401245197
5,406991,M226877,Ambulante Krebsbekämpfung: Gemeinschaftsaufgabe von Niedergelassenen und Krankenhausärzten.,,ger,0.7668268507558699
6,1923942,M1763011,Diagnostisches Basisprogramm in pneumologischen Kliniken: Istzustand--eine retrospektive Datenanalyse. Arbeitskreis der leitenden Krankenhausärzte pneumologischer Kliniken.,,ger,0.763649707071472
7,726743,M551611,Informationsfluss zwischen psychiatrischer Klinik und ambulanten Einrichtungen.,,ger,0.7632468074514629
8,334892,M152890,Krankenhaushygiene in der Unfallchirurgie.,,ger,0.7614503074382208
9,1127040,M964837,Ambulante und teilstationäre Einrichtungen am Psychiatrischen Krankenhaus,,ger,0.7590300384336816
10,895287,M720232,Rechnungsprüfung im Krankenhaus und ärztliche Schweigepflict.,,ger,0.7587958731199087
11,316600,M134325,Soziale Determinanten der Krankenhauseinweisung psychiatrischer Patienten -Ein Vergleich zwischen Universitätsklinik und Landeskrankenhaus,,ger,0.758707772061741
12,427315,M247266,Pflegeplanung.,,ger,0.754447073687933
13,380402,M199787,Pflegeplanung.,,ger,0.754447073687933
14,707388,M532253,"Interventionsmöglichkeiten im Geriatrischen Krankenhaus, Ein Erfahrungsbericht.",,ger,0.7537150012117971
15,1080217,M917995,Geriatrische Klinik - Ihre Organisation und Aufgabe.,,ger,0.7531516555464564
16,1020889,M858634,Krankenhaushygiene aus der Sicht der Medizinalverwaltung,"The task of medical administration in hospital hygiene is external control, promotion and counseling. This applies, for example, to the personel sector when establishing the internal institutions: hygiene committee, hospital hygienist, hygiene commissioner, specialist hygiene nurse. In addition, it is however necessary to improve the structural and functional facilities and possibilities within the framework of the hospital finance law. This includes early, supraregional guidance in cases of hospital planning as well as cooperation in hygiene committees. Medical administration can only create the necessary preconditions for good hospital hygiene. It is , however, the task of the members of the personel themselves to make full use of them.",ger,0.7514209837967216
17,1654331,M1493286,Leistungsstruktur und Leistungserfassung der ambulanten Chirurgie.,"Between January and September 1991, the average turnover of outpatient surgical centers in the Palatinate medical district was DM 100,000. A total 14.5% of this amount was costs of operation. Hourly charges are DM 300-600. For economical reasons, operations which do not cover these costs cannot be done.",ger,0.751312179522836
18,283436,M100694,Schrittmachertherapie an Krankenhäusern der Regelversorgung.,,ger,0.7499087574506297
19,1741038,M1580018,Management des Polytraumas--Möglichkeiten und Grenzen im Krankenhaus der Grund- und Regelversorgung.,"The chances and the limits in the treatment of patients with multiple trauma are discussed on the example of the Marienkrankenhaus Trier-Ehrang. Definite conditions concerning to the rooms, the staff and the organisation must be realized. Most important is the cooperation between the anaesthesiologist and the surgeon. Short distances, short times and a well trained team are advantageous. If computed tomography and angiography are not available the diagnostical facilities are limited. Severe cranial trauma and spine fractures must be transferred to a special medical centre.",ger,0.7487817418596776
20,1101728,M939521,Planning a hospital-based outpatient surgery program.,,eng,0.6257462870419596
21,1200044,M1038027,Planning the care of the orthopedic patient.,,eng,0.6152025525067281
22,1897864,M1736923,An analysis of reimbursement for outpatient medical care in an urban hospital emergency department.,"The investigators examined the demographic and clinical factors associated with the collection experience in a series of 786 patients who were treated in an urban hospital emergency department (ED) but not admitted to the hospital. They found that 57% of the total net charge of $150,489 had been paid within 180 days. This rate can be compared with an average inpatient collection rate of 85% at 180 days. Seven factors were found to account for the collection rate variation, making up 38.4% of the total variation. Age, gender, primary diagnosis, season of visit, time of arrival, and residence were not found to be main contributors. Insufficient collection rates may be an indication that EDs increasingly are becoming a financial risk to hospitals. The hospital's collection experience will become more important as an indicator of financial risk if the costs of operating EDs continue to escalate and collection rates do not improve. Both the costs of providing a service and the amount of the charge actually collected are valid concerns to those operating EDs.",eng,0.6134608282558347
23,1366646,M1205358,Planning of surgical treatment.,,eng,0.6133252314096543
24,1544548,M1383460,Surgical planning.,,eng,0.6108548095435408
