,DBRECORDID,TITLE,ABSTRACT,LANGUAGE,cosine_scores
1211166,M1049169,Low sodium diet in heart disease: how low is low?,,eng,0.8004987510024419
1255488,M1093617,M. D. W. Low.,,eng,0.7660147038668237
1086247,M924029,Must low price mean low quality?,,eng,0.7642351554335455
63664,M28390682,How Low is Low Enough?,,eng,0.7547430430609788
1454534,M1293390,Carotenaemia with low vitamin A levels and low retinol-binding protein.,,eng,0.7517243797672818
1631633,M1470585,"Effects of low, normal, and high temperatures on slaughter yield of broilers from lines selected for high weight gain, favorable feed conversion, and high or low fat content.","Male and female broiler chicks from five different broiler crosses (WI = Israeli chicks selected for increased body weight; LF and HF = Israeli chicks selected for low and high abdominal fat, respectively; FC and WN = Dutch chicks selected for improved feed conversion and increased body weight, respectively) were raised at low, normal, or high temperature. Slaughter yield, amount of breast meat, and abdominal fat were determined at 6 wk of age in all groups and at a body weight of 2,360 g for males and 1,965 g for females in the low- and normal-temperature groups, and at 8 wk in the high-temperature groups. Temperature, genotype, and sex influenced both absolute and relative weights of carcass, breast meat, and abdominal fat. Temperature had a negative effect on breast meat yield. Males were affected more by high temperature than females. A significant interaction between temperature and sex for breast meat yield was caused by a low yield for males at the high temperature. A similar interaction for proportion of abdominal fat was caused by a high fat content in males reared at the high temperature. Slaughter yield and especially yield of breast meat were highest in FC chickens in all comparisons.",eng,0.7429341665224013
1791346,M1630342,Very low energy diets.,,eng,0.7378118499233383
296212,M113589,Comparison of two commercial low residue diets and a low residue diet of common foods.,,eng,0.7376784600682167
104772,M28295777,Can LDL cholesterol be too low? Possible risks of extremely low levels.,"Following the continuous accumulation of evidence supporting the beneficial role of reducing low-density lipoprotein cholesterol (LDL-C) levels in the treatment and prevention of atherosclerotic cardiovascular disease and its complications, therapeutic possibilities now exist to lower LDL-C to very low levels, similar to or even lower than those seen in newborns and nonhuman species. In addition to the important task of evaluating potential side effects of such treatments, the question arises whether extremely low LDL-C levels per se may provoke adverse effects in humans. In this review, we summarize information from studies of human cellular and organ physiology, phenotypic characterization of rare genetic diseases of lipid metabolism, and experience from clinical trials. Specifically, we emphasize the importance of the robustness of the regulatory systems that maintain balanced fluxes and levels of cholesterol at both cellular and organismal levels. Even at extremely low LDL-C levels, critical capacities of steroid hormone and bile acid production are preserved, and the presence of a cholesterol blood-brain barrier protects cells in the central nervous system. Apparent relationships sometimes reported between less pronounced low LDL-C levels and disease states such as cancer, depression, infectious disease and others can generally be explained as secondary phenomena. Drug-related side effects including an increased propensity for development of type 2 diabetes occur during statin treatment, whilst further evaluation of more potent LDL-lowering treatments such as PCSK9 inhibitors is needed. Experience from the recently reported and ongoing large event-driven trials are of great interest, and further evaluation including careful analysis of cognitive functions will be important.",eng,0.7362946627630602
551302,M375140,"Meals in Washington's day high in fat, low in flavor.",,eng,0.7348514714405732
1898083,M1737142,"Low blood pressure, low mood?","Objective!#!To determine whether a set of physical symptoms is associated with low blood pressure and to investigate the possible role of psychological factors in their occurrence.!##!Design!#!Analysis of data collected by questionnaire and physical screening from the first phase of the Whitehall II study, a cohort study of an employed population.!##!Setting!#!23 civil service departments in London.!##!Subjects!#!10,314 male and female London based civil servants aged between 35 and 55.!##!Main outcome measures!#!Symptoms of dizziness-giddiness and unexplained tiredness; psychological functioning as measured by the 30 item general health questionnaire in which the response ""no more than usual"" to an item about disease was scored as indicating chronic illness.!##!Results!#!Dizziness-giddiness in men and unexplained tiredness in both men and women were significantly related to low systolic blood pressure. There was a highly significant inverse relation between general health questionnaire score and systolic blood pressure for both men and women, which persisted after controlling for potentially confounding variables, including age, body mass index, drug treatment, physical illness, and exercise. This association of low blood pressure with physical symptoms was no longer significant when general health questionnaire score was controlled for.!##!Conclusions!#!There seems a strong relation between low systolic blood pressure and minor psychological dysfunction. Associated physical symptoms seem to be secondary to the primary disturbance in mental state.",eng,0.7274671289258658
1720105,M1559076,"Low blood pressure, low mood?",,eng,0.7274671289258658
22706,M28383695,Effect of pre-exercise carbohydrate diets with high vs low glycemic index on exercise performance: a meta-analysis.,"Context!#!Although pre-exercise consumption of a low-glycemic-index (LGI) carbohydrate meal is generally recommended, the findings regarding subsequent exercise performance are inconsistent.!##!Objective!#!This meta-analytic study was conducted to determine whether a pre-exercise LGI carbohydrate meal leads to greater endurance performance than a pre-exercise high-glycemic-index (HGI) meal.!##!Data sources!#!The following electronic databases were searched until April 2016: MEDLINE, SPORTDiscus, Web of Science, and Cochrane Central Register of Controlled Trials. The reference lists of selected articles were searched manually.!##!Study selection!#!Randomized controlled or crossover trials comparing the effects of LGI and HGI pre-exercise carbohydrate meals on subsequent exercise performance of healthy participants were included.!##!Data extraction!#!The Jadad scale was used to assess the methodological quality of the included studies. A fixed-effects model was used to evaluate overall and subgroup estimates.!##!Results!#!In total, 15 eligible studies from 727 articles were included in this meta-analysis. All included studies were of low research quality. The synthesized effect size ( d  = 0.42, z  = 3.40, P  = 0.001) indicated that the endurance performance following an LGI meal was superior to that following an HGI meal. Subgroup analyses demonstrated that the treatment effect did not vary across outcome measures (exercise to exhaustion, time trial, and work output) or athletic status (trained or recreational participants).!##!Conclusions!#!Weak evidence supports the claim that endurance performance following a pre-exercise LGI meal is superior to that following a pre-exercise HGI meal. Further high-quality research in this area is warranted.",eng,0.7262570305852677
548021,M371608,Energy balance in man with particular reference to low intakes.,,eng,0.7254624450811002
1257839,M1095969,Adaptation to low protein intakes.,,eng,0.7225979005867615
1256731,M1094861,Adaptation to low protein intakes.,,eng,0.7225979005867615
622751,M447595,Gas-liquid chromatographic-mass fragmentographic determination of low levels of diethylcarbonate in beverages.,"Sodium chloride and ethanol (omitted for samples with greater than 10% alcohol) are added to the beverage sample and the sample is allowed to equilibrate in a 30 degrees C water bath. An aliquot of the headspace is injected into a gas chromatography containing a column packed with 0.2% Carbowax 1500 on 80--100 mesh Carbopack C. During the elution of diethylcarbonate (DEC), an impurity that is present in diethylpyrocarbonate, the column effluent is vented to a mass spectrometer with a multiple ion detection system and operated in the electron impact mode. The ions at m/e 63 and 91 are monitored. Lemonade, fruit drinks, wine, and beer samples (138 total) were analyzed for DEC. Sixteen samples had greater than 30 ppb DEC. Eight analyses of a lemonade sample gave a mean of 88 ppb with a coefficient of variation of 11%.",eng,0.7208946601913484
326151,M144060,Heart/body weight ratios for aging high and low blood pressure mice.,"Heart weight and heart/body weight ratios were determined for stocks of mice bred from Schlager's high and low blood pressure mice. Results of an analysis in which three different age groups (means = 15, 17, and 28 months) were compared indicated a nonsignificant interaction between age and blood pressure for heart weight and between age and blood pressure for heart/body weight ratios. Heart weight and heart/body weight ratios were significantly higher for the high than for the low BP mice at all ages with one exception; heart weights did not differ between the two lines at mean age 28 months. It was concluded that high blood pressure mice do not exhibit cardiac hypertrophy in the strictest sense of a disproportionately greater increase in heart/body weight ratios across the life span than low blood pressure for this particular stock.",eng,0.7203146391400034
1895329,M1734388,Nutrient adequacy of low fat intakes for children: the Bogalusa Heart Study.,"Nutritional adequacy is important when diets and dietary alterations are recommended for children. Concern is expressed that low fat intakes may have deleterious effects on growth and development and may be deficient in total calories and essential nutrients. In a study of the effect of variation in percent fat in the diet, a sample of 871 ten-year-olds was stratified according to four different fat intakes: less than 30% of total kilocalories (kcal), 30% to 35% kcal, 35% to 40% kcal, and greater than 40% kcal. The race/sex distribution was similar within each fat intake group. Fourteen percent of the sample had fat intakes less than 30% of total calories. The amount of calories from breakfast, dinner, and snacks was higher in the children with fat intakes greater than 40% of total calories than those with lower fat intakes. The energy intake of all race/sex groups fell within the recommended range. The low fat intake group was eating 25% less calories than the high fat intake group (1800 kcal vs 2400 kcal). The percentage of calories from carbohydrate, specifically sugar, was greater in the low fat intake group compared with the high fat intake group. Percentage of calories from protein was approximately 13% for all groups. Fiber and starch were the same across all fat intakes.(ABSTRACT TRUNCATED AT 250 WORDS)",eng,0.7192243993293005
88922,M28212284,Micronutrient Intakes in 553 Dutch Elite and Sub-Elite Athletes: Prevalence of Low and High Intakes in Users and Non-Users of Nutritional Supplements.,"This study investigated whether athletes meet micronutrient recommendations and whether the adequacy of their intake is related to the use of dietary supplements, sport nutrition products or a combination. Micronutrient intakes of 553 Dutch (sub-) elite athletes were assessed using web-based 24-h dietary recalls with accompanying nutritional supplement questionnaires. In the majority of both users and non-users of dietary supplements, vitamin D intake was below the estimated average requirement (AR) if supplements were not included in the analysis. Including dietary supplements improved vitamin D intake, but still a part of the athletes, both men and women, reported an intake below the AR. Non-users of dietary supplements were particularly at risk for low intakes of vitamins B1, B2, B3 and vitamins A, C and selenium. Mean iron intake was reported below the AR in a substantial group of women, both users and non-users. The use of sport nutrition products contributed only slightly to micronutrient intake. A small prevalence of athletes using dietary supplements showed intakes of some micronutrients above the Upper Level. In conclusion, both users and non-users of nutritional supplements reported inadequate intake of micronutrients. For most micronutrients, use of nutritional supplements does not completely compensate for intakes below AR. Athletes should consider making better food choices and the daily use of a low-dosed multivitamin supplement.",eng,0.7187452525557241
982056,M819274,"Unterschiedliche Calorienzulfuhr bei 75 ""low birth weights"": Einfluss auf Gewichtszunahme, Serumeiweiss, Blutzucker und Serumbilirubin","A prospective study on oral feeding was started in 75 low birth weights (below 2500 g) with adapted milk. Early feeding was given in two groups with different feeding volume and caloric intake. The infants were grouped alternately. Both groups were comparable concerning birth weight, gestational age, and intrauterine growth. Due to partially different variances, covariate correction was applied to analysis of the data. The high caloric group had excellent weight gain, the maximum weight loss was less, and birth weight was regained earlier than in the control group. Blood sugar and serum protein were similar in both groups. Mean serum bilirubin levels were lower in the group with high caloric intake, but differences failed to be significant. Early high caloric feeding was well tolerated and is preferable to parenteral nutrition in low birth weights.",ger,0.587280409340419
1035972,M873719,Plasma renin activity during lithium treatment of patients.,Plasma renin activity (PRA) was determined in patients given lithium treatment. In a longitudinal study PRA was determined in 9 patients before the start of lithium treatment and at intervals during 3 months of treatment. The activity was increased significantly above pretreatment values on day 8 of the treatment; thereafter it fell to pretreatment values. In a transversal study 18 patients given lithium treatment for 2-20 years were compared with 11 control persons. PRA did not differ significantly between the two groups. The results indicate that PRA rises transiently shortly after start of lithium treatment and thereafter falls to pretreatment values where it remains even under prolonged lithium administration.,ger,0.5658448587620138
377101,M196439,"Der Einbau von 14C-Octanoat, 14C-Palmitat und 3H-Glycerol in Chylomikronen und very low density-Lipoproteine (VLDL) bei Hyperlipidämie vom Typ V.",,ger,0.5618742658145228
805535,M630456,Technique rapide de preparation des acides ribonucleiques thyroidiens sans phenol.,"Thyroid tissue was homogenized in 2 M LiCl. The homogenate was alloued to stand 1 h 30 min at 2 degrees C and then centrifuged. The pellet was suspended in 5% triisopropylnaphthalene sulfonic acid (the sodium salt), 0.05 M Tris--HCl, and 0.1 M NaCl (pH 8). After stirring and centrifuging, the supernatant containing the crude RNA was purified by filtration on Ultrogel AcA 22 (LKB, Sweden). Before adding the sample of crude RNA to the column, pronase was placed on the column. When pronase had entered the gel, we added the sample. The first peak contained pure RNA plus some DNA. The former was precipitated with 2 M LiCl. The RNA species obtained by this technique were undegraded and the yield was 30% better than that of the phenol technique.",fre,0.5612262636374823
943646,M772607,Letter: Effect of propranolol on urine concentration.,,fre,0.5606472782881432
367686,M186689,"Turnover der Triglyzeride in den ""very low density""-Lipoproteinen bei Hyperlipidämie vom Typ IIb und IV. Vorläufige Mitteilung",,ger,0.5553320748125354
555817,M379845,"Ein System für ""Intermittent Mandatory Ventilation"" (IMV) mit dem Engström-Respiratoren ER 200/300.","At low financial and material costs conventional Engström-respirators (Types ER 200, 300) can be converted to make Intermittent Mandatory Ventilation (IMV) possible. These so converted respirators were examined when a group of patients in a surgical intensive care unit who had undergone mechanical ventilation for a longer period of time was weaned from the respirator. It could be shown that during the step-by-step weaning of these patients no significant changes appeared in the results of the blood gas analyses, which means that the patients' pulmonary function took over again gradually. Doubtlessly, the convertability of the Engström-respirator for IMV will help promote the weaning of patients with respiratory complications by this method.",ger,0.5547042289756009
1039785,M877532,Pharmacokinetics of heparin after a single intravenous or subcutaneous injection.,"In 2 groups of 4 probands the pharmacokinetics of heparin were investigated by a physiologic method (factor Xa inhibition) and an isotope method (35S-heparin) following a single intravenous injection of 5000 IU heparin and a single subcutaneous injection of 10000 IU heparin respectively. Following intravenous administration the anticoagulant effect and radioactivity fall exponentially. The half-life is about 50 min and the distribution volume 3000 ml (factor Xa inhibition) and 3800 ml (radioactivity). With subcutaneous injection peak concentrations above 0.2 IR heparin/ml were measured by both methods 2-4 h after administration; 9 h after administration, no further factor Xa inhibition was detectable in 2 probands. In the light of these and previously published results, some practical aspects of the conduct of therapy and prophylaxis of thromboembolism with heparin are discussed.",ger,0.55395897208445
647686,M472537,Soluble ophthalmic drug inserts with antibacterial and antiviral preparations.,,fre,0.5521070067420817
1154345,M992183,Influence of helio- and thalassotherapy on the vitamin A and Beta-carotene levels in psoriasis,,ger,0.5504432001678189
1981602,M1820871,Fluoride bioavailability from sodium fluoride alone or in association with different calcium salts.,Fluoride pharmacokinetics were studied in twelve healthy subjects after oral administration of one tablet of osteofluor-containing 25 mg of sodium fluoride alone or associated with different calcium salts (500 mg Ca element) given as microcrystalline hydroxyapatite compound or powdered tri-calcium phosphate. Fluoride was measured in plasma and urine with a specific electrode and fluoride bioavailability from the three drugs was compared. Calcium absorption after oral load was assessed by measuring variations from the fasting state of plasma calcium and parathyroid hormone and of the urinary calcium to creatinine ratio. The bioavailability of fluoride is significantly decreased by the association to sodium fluoride of hydroxyapatite but not of tri-calcium phosphate. Calcium absorption seems greater after administration of hydroxyapatite compound. The decrease of the fluoride bioavailability is probably dependent on the capacity of calcium absorption from the calcium salts. The association of calcium to fluoride is absolutely required for treatment of osteoporosis. The microcrystalline hydroxyapatite compound seems preferable in view of its greater calcium absorption and of its limited decrease in fluoride bioavailability.,fre,0.5493453314272072
185731,M655,Letter: Gamma glutamyltranspeptidase (gamma GT) after myocardial infarction.,,fre,0.5490548470739628
206043,M22016,"[Effects of new beta receptor blocking agent Acebutolol in patients with essential, renal, and broderline hypertension].",,ger,0.5485769694926431
889541,M714484,The development of motor competency in normal and slightly mentally handicapped children.,"A study of the motor development and the corporal schema integration was carried out on 60 normal children aged between 6 and 10, and 40 slightly mentally handicapped children of 8 and 10 years of age. The deficiency at the level of manual rapidity is the most important element concerning the motive debility of mentally handicapped children. The tests show that there is no parallelism between the motive retardedness and the level of attainment of the corporal schema. In fact, the motor debility of 8 years old children is emphasized at the age of 10 with reference to normal children. On the other hand, if, at the age of 8, the mentally handicapped children have a lag of the corporal schema acquisition, these children have nearly overcome their retardedness at the age of 10. Therefore one can conclude that the motor retardedness of the slightly mentally handicapped children is not essentially due to a deficiency of the corporal schema integration.",ger,0.5481638234096057
414773,M234720,Effect of prednisolon on cell metabolism of candida.,In vitro effects of 2 water-soluble prednisolon-derivatives on 10 Candida albicans and 10 Candida tropicals species were investigated. Tests were performed during resting and proliferation phases. Changes of cell metabolism were measured by O2-consumption by the Warburg technique. With increasing corticosteroid concentrations (10-10000 gammaml) a dose dependent increase of cell respiration was found with and without addition of nutritive substrates. Even high concentrations of corticosteroid did not cause an antimetabolic effect. The tests did not yield different results for the two Candida species examined.,ger,0.5476287176804513
1145539,M983343,[Gas chromatographic-mass spectrometric investigations on the formation of phenolic and aromatic hydrocarbons in food (author's transl)].,"Phenolic compounds and aromatic hydrocarbons are components in many foods and often typical flavoring substances for example of roasted and smoked products. They are also of toxicological importance. By means of model reactions we have investigated their formation by thermal fragmentation of cinnamic, p-coumaric, ferulic and sinapic acids. The products of these reactions were determined by gas chromatography and identified by mass spectrometry or infrared spectroscopy. Product ratio and mass spectra are given. Barley was roasted in a similar manner, and the components formed were identified. Column chromatography and preparative gas chromatography were used for preliminary separation.",ger,0.5469680864911183
565143,M389392,CPHA releases fluoride report.,,fre,0.5457120911699961
1250442,M1088567,Action of ethanol and other solvents on the nerve tissue under in vitro conditions.,"Explants and cells of nervous tissue were cultivated in the presence of aethanol, tween 80, dimethylformamid (DMF) and dimethylsulfoxid (DMSO) and the influence upon the index of area, the growth rate and fiber index was observed. They are important to solutions of drugs for tests in vitro. At the beginning of the cultivation aethanol in vitro influenced the regeneration of nerve fibers from explants and cells. A significant increase of the index of growth was observed. After a long term influence of tween 80, DMF and DMSO an inhibition of differentiation of neurons in vitro was observed.",ger,0.5451972929682292
1335065,M1173762,Effect ofO-(beta-hydroxyethyl)rutoside on intestinal tract cells following partial body irradiation.,"In the present study the influence of O-(beta-hydroxyethyl)-rutoside (HR) on the intestinal cells of irradiated mice was investigated. The mitotic activity in the duodenum after irradiation of the abdomen with 800 and 1200 R was shown to be significantly increased during the recovery phase after application of HR. The number of irradiation induced stem cell pycnoses was markedly reduced by HR in the case of both radiation doses. The initially decreased incorporation rate of H3-thymidine was found to increase more rapidly during the first few hours after irradiation in animals pretreated with HR than in those untreated. Cytogenesis of goblet cells, in the duodenum proved to be favourably influenced by HR. During the recovery phase the values were found to be above those observed in the control group and in the untreated animals. The mitosis free interval in the rectal cells immediately after irradiation proved to be shortened in the pretreated animals and the re-increase of the mitotic activity was found to be accelerated. The number of cell pycnoses was also markedly reduced after application of HR, while the incorporation rate of H3-thymidine was accelerated. The radiosensitivity of the goblet cells was not influenced by HR. Disorders in differentiation of the muciferous cells were observed in both test groups.",ger,0.5451489870876527
