,DBRECORDID,TITLE,ABSTRACT,LANGUAGE,cosine_scores
1211166,M1049169,Low sodium diet in heart disease: how low is low?,,eng,0.8090703193874743
1255488,M1093617,M. D. W. Low.,,eng,0.766014703866824
1454534,M1293390,Carotenaemia with low vitamin A levels and low retinol-binding protein.,,eng,0.7627445225208401
1086247,M924029,Must low price mean low quality?,,eng,0.7362456665810748
1631633,M1470585,"Effects of low, normal, and high temperatures on slaughter yield of broilers from lines selected for high weight gain, favorable feed conversion, and high or low fat content.","Male and female broiler chicks from five different broiler crosses (WI = Israeli chicks selected for increased body weight; LF and HF = Israeli chicks selected for low and high abdominal fat, respectively; FC and WN = Dutch chicks selected for improved feed conversion and increased body weight, respectively) were raised at low, normal, or high temperature. Slaughter yield, amount of breast meat, and abdominal fat were determined at 6 wk of age in all groups and at a body weight of 2,360 g for males and 1,965 g for females in the low- and normal-temperature groups, and at 8 wk in the high-temperature groups. Temperature, genotype, and sex influenced both absolute and relative weights of carcass, breast meat, and abdominal fat. Temperature had a negative effect on breast meat yield. Males were affected more by high temperature than females. A significant interaction between temperature and sex for breast meat yield was caused by a low yield for males at the high temperature. A similar interaction for proportion of abdominal fat was caused by a high fat content in males reared at the high temperature. Slaughter yield and especially yield of breast meat were highest in FC chickens in all comparisons.",eng,0.7235678274560603
548021,M371608,Energy balance in man with particular reference to low intakes.,,eng,0.7212577302112602
1257839,M1095969,Adaptation to low protein intakes.,,eng,0.719830805587585
1256731,M1094861,Adaptation to low protein intakes.,,eng,0.719830805587585
326151,M144060,Heart/body weight ratios for aging high and low blood pressure mice.,"Heart weight and heart/body weight ratios were determined for stocks of mice bred from Schlager's high and low blood pressure mice. Results of an analysis in which three different age groups (means = 15, 17, and 28 months) were compared indicated a nonsignificant interaction between age and blood pressure for heart weight and between age and blood pressure for heart/body weight ratios. Heart weight and heart/body weight ratios were significantly higher for the high than for the low BP mice at all ages with one exception; heart weights did not differ between the two lines at mean age 28 months. It was concluded that high blood pressure mice do not exhibit cardiac hypertrophy in the strictest sense of a disproportionately greater increase in heart/body weight ratios across the life span than low blood pressure for this particular stock.",eng,0.7196926030805992
63664,M28390682,How Low is Low Enough?,,eng,0.7196225108082929
1791346,M1630342,Very low energy diets.,,eng,0.7128957962977615
