,DBRECORDID,TITLE,ABSTRACT,LANGUAGE,cosine_scores
1623133,M1462079,Epidémiologie de l'obésité.,,fre,0.9591228547974916
1457456,M1296312,Epidémiologie de l'asthme.,"Asthma epidemiology aims to provide answers to the following questions: what is the prevalence? what are the consequences? what are the risk factors of asthma? Questionnaires indicate that asthma prevalence averages 6 to 8% whereas assessment of bronchial reactivity reveals that approximately 15% of the population exhibit bronchial hyperesponsiveness; these figures have been increasing in many western countries. Asthma is an important cause of impairment in children physical development, school-related problems along with increased number and duration of hospitalizations. Asthma mortality averages 3/100,000 in France and is mainly focused on people more than 50 years old; its increase is very likely in some countries, but is still controversial in France. Environmental and socio-economic factors play a major role in the development of asthma and genetic factors are now under investigation. Although both understanding and drug treatment of asthma have dramatically improved in the recent past, no positive change has been observed so far in terms of morbidity and mortality. Nevertheless, knowledge of factors specific to France requires further investigations.",fre,0.9591228547974916
1373805,M1212525,Epidémiologie du cancer colo-rectal,Some of the more recent contributions of epidemiology to knowledge of the causation of colo-rectal are reviewed. Geographical differences and changes in migrants suggest the importance of enviornmental (especially dietary) factors. High dietary fat is believed to stimulate increased bile secretion and thus provide a substrate for bacterial conversion to carcinogens or co-carcinogens. The association of beef consumption to colorectal cancer may relate to the fat content of beef. There is so far little direct evidence to support the alternative dietary fibre deficiency hypothesis.,fre,0.9009753989158495
712596,M537463,Epidémiologie des cancers colo-rectaux.,,fre,0.8943099619480637
1503799,M1342670,"Les dysthymies. Clinique, nosologie et épidémiologie.",,fre,0.8877032484704259
1605247,M1444188,Epidémiologie et prévention du cancer colo-rectal.,"Colorectal carcinoma is very common in western countries. It is in the front line of malignant pathology in France. The estimated number of new cases is almost 26,000 per year. The role played by diet in the onset of colorectal carcinomas is well established. The majority of studies indicate the protective role played by green vegetables. The role of other factors remains controversial: protective role of fibres, calcium and vitamins and favorizing role of fats, proteins, red meat, alcohol and calorie intake. The role of bile salts in increasing the size of adenomas and their malignant change is accepted. A number of therapeutic trials have involved modifications in bile salt concentrations. These should enable the proposal of a primary prevention strategy. The early detection of carcinomas and the secondary prevention of colorectal carcinoma (by detection of the adenomas which precede a high proportion of carcinomas) are areas of great interest. Detection of occult blood in stools as a mass screening test is currently being evaluated. Methods used to obtain a high participation rate among the population vary from one country to another, but are now well-defined. It will be necessary to wait for 2 years before being able to determine the effect on mortality and an even longer period to evaluate the effect on the incidence of colorectal carcinoma.",fre,0.8754873288805871
412331,M232268,Epidémiologie et étiologie du cancer colo-rectal.,,fre,0.8736394185921303
1755858,M1594841,Etiologie et épidémiologie des varices.,,fre,0.8704312422692433
1699977,M1538941,Actualités en épidémiologie.,,fre,0.8676633028183423
1144111,M981913,"Etiopathogenie, physiopathologie et épidémiologie de la micro-angiopathie diabétique",,fre,0.8643303927593721
1765188,M1604176,"Grippe. Epidémiologie, étiologie, physiopathologie, diagnostic, traitement, prévention.",,fre,0.8640569941387064
1961971,M1801218,Asthme: définition et épidémiologie.,,fre,0.8615512957159297
1049638,M887386,Approche psychologique en épidémiologie cardio-vasculaire.,"It is quite generally accepted that a certain personality profile long precedes the first manifestations of coronary disease. However the essential traits and above all their place amongst other risk factors remain controversial. The authors undertook a prospective study involving three male populations grouping 2147 adult subjects. Amongst the questions considered, there was the choice of a simple a quick psychological approach applicable to a population ranging over all cultural levels. The study shows that the Bortner auto-transference scale fulfils all these requirements. Thus a given type of behaviour may be analysed as a risk factor, in the same way as various examinations such a blood pressure or cholesterol level.",fre,0.8570051957225858
492158,M312154,Epidémiologie et prévention de la brucellose.,,fre,0.8539816310415103
1969448,M1808699,"Rougeole. Epidémiologie, diagnostic, évolution, prévention.",,fre,0.8485836969938527
1979038,M1818307,Ethique et épidémiologie.,,fre,0.8481157845810229
880254,M705192,"La maladie hydatique: parasitologie, épidémiologie et prophylaxie.",,fre,0.8424658322856515
967266,M803857,Epidémiologie et prévention des hepatites virales,,fre,0.8420818491031938
162033,M28321628,Epidémiologie des fractures péri-trochanteriennes.,,fre,0.8394715601455522
1903565,M1742624,Epidémiologie biologique et clinique des infections onco-rétrovirales HTLV-I et II.,"Human T cell leukemia virus type I and II are endemic in South West Japan and in large parts of the equatorial belt in Central and South America, in Africa, and in some Pacific islands, areas where 1 to 5% of the general populations are infected. Pockets of high prevalence up to 15% and even 35% can be observed. The transmission of HTLV-I includes: maternal to offspring through breast feeding, sexual mainly from men to women and through blood exchange (blood transfusion, intravenous drug abusers, etc.) The diseases being proven to be caused by HTLV-I, include acute adult T cell leukemias as described in Japan, in 1977, in which the HTLV-I provirus is clonally integrated in leukemic cells, and a progressive spastic encephalomyelopathy named TSP/HAM, frequent in HTLV-I endemic areas, and in which an active viral replication takes place. No specific treatment being available, vaccine development, more feasible than for HIV, is critical since 8 to 12% of seropositive individuals develop HTLV-I associated diseases.",fre,0.8376671371418501
1091378,M929161,The epidemiology of influenza.,,eng,0.7547430367733345
860953,M685886,Epidemiology of influenza.,,eng,0.7547430367733345
251078,M67988,The epidemiology of influenza.,"Although unpredictable, influenza outbreaks are known to occur in three patterns: pandemics every 30 to 40 years, with high excess mortality; epidemics much more frequently, with lower excess mortality; and usually mild sporadic outbreaks. The possibility of a swine-flu pandemic this winter, resembling that of 1918-20, is the result of a unique deviation in the epidemiology of this fascinating disease.",eng,0.7547430367733345
1836734,M1675772,Zur Epidemiologie des Dermatozoenwahns.,,ger,0.7486207277607257
1800284,M1639287,Zur Epidemiologie der Lippen- und Mundhöhlenmalignome.,,ger,0.7486207277607257
1751610,M1590592,Zur Epidemiologie der saginata-Taeniose.,"The aim of the epidemiological analysis was to detect the distribution and changes in the incidence of Taenia saginata and to find the relations between taeniosis and cysticercosis in the district of Halle (Saale). The morbidity rate of taeniosis was calculated at first by the number of notified cases and also by the quantity of anthelmintics in the treatment of T. saginata infections in humans. The morbidity based on notifications did not show any relations to the frequency of metacestodes of T. saginata in cattle. This morbidity rate gave an exact relation to the number of notified cases but not to the number of real cases of cestodes in humans. On the contrary, the theoretical morbidity based on used anthelmintics developed parallel to the degree of infestation in cattle. Therefore this theoretical morbidity is very suitable for epidemiological studies of taeniosis.",ger,0.7486207277607257
1378362,M1217103,Zur Atiologie und Epidemiologie des Mamma-Karzinoms,,ger,0.7486207277607257
1282822,M1121478,Lungenfunktionsprüfungen in der Epidemiologie,,ger,0.7486207277607257
1081844,M919623,Epidemiologie des Bronchialkrebses.,,ger,0.7486207277607257
1049821,M887569,Informations- und Entscheidungsmethoden in der Epidemiologie.,,ger,0.7486207277607257
1017199,M854944,Zur Epidemiologie der Nicht-Hodgkin-Lymphome,"Main sources of information on the epidemiology of malignant tumors are the statistical data on mortality and incidence and the studies on the distribution of frequencies. The mortality from non-Hodgkin's lymphomas ranges between 0.1 and 6 cases per 100 000 per year. Statistics upon incidence are based on cancer registers of the general population. The figures of incidence range between 1 and 10 cases per 100 000 per year (""Cancer Incidence in Five Continents""). Men are affected with non-Hodgkin's lymphoma twice as frequently as women. Burkitt's lymphoma and the lymphoma of small intestine are particularly interesting, showing a peculiar geographical and age distribution.",ger,0.7486207277607257
660570,M485422,Zur Epidemiologie der Vulvamalignome.,,ger,0.7486207277607257
312781,M130270,Zur Atiologie und Epidemiologie arzneimittelbedingter Arbeitsdermatosen,,ger,0.7486207277607257
299934,M117318,Epidemiologie krankenhaus-erworbener Harnwegs-infektionen.,"Among hospital-acquired infections, urinary tract infections are the widest spread. The most common pathogenic agents are E. coli, Enterococci and Proteus mirabilis. Indwelling bladder catheters account for about 70% of infections. Suprapubic urine drainage can reduce the incidence of urinary tract infections by approximatively 50%.",ger,0.7486207277607257
1754758,M1593740,The epidemiology of murder-suicide.,"Objective!#!To review the epidemiology, patterns, and major determinants of murder-suicide and to discuss the clinical and research strategies for identifying the individuals at greatest risk for this type of violence.!##!Data sources!#!Data were obtained from English-language articles based on searches using MEDLINE (from 1966), PsychINFO (from 1967), and EMBASE (from 1974) programs. In addition, relevant articles, books, and monographs identified from the reference list of retrieved articles were reviewed.!##!Study selection!#!Case-control studies, descriptive epidemiologic surveys, and case series were chosen for review.!##!Data extraction!#!Because of the limited scope of the pertinent research literature, all data relevant to the incidence, demographics, circumstances, and precipitants of murder-suicide were summarized by the authors.!##!Data synthesis!#!Murder-suicide occurs with an annual incidence of 0.2 to 0.3 per 100,000 person-years and accounts for approximately 1000 to 1500 deaths yearly in the United States. The annual incidence of these events is relatively constant across industrialized nations and has not significantly changed over several decades. The principal perpetrators are young males with intense sexual jealousy, depressed mothers, or despairing elderly men with ailing spouses. The principal victims are female sexual partners or consanguineous relatives, usually young children. Clinical depression, specific motivations such as male sexual proprietariness or maternal salvation fantasies, and a history of previous suicide attempts are important in explaining underlying psychopathological mechanisms.!##!Conclusions!#!Murder-suicide occupies a distinct epidemiological domain that overlaps with suicide, domestic homicide, and mass murder. These events may be categorized into one of only several phenomenologic typologies that share similar demographics, motivations, and circumstances. Despite the disruption of families and communities caused by murder-suicide, there are no standardized operational definitions, validated taxonomic systems, or national surveillance networks for these events, all of which are needed to develop prevention strategies.",eng,0.744226882932195
1668349,M1507310,Front-line epidemiology.,,eng,0.744226882932195
1423289,M1262118,Against Popperized epidemiology.,The recommendation of Popper's philosophy of science should be adopted by epidemiologists is disputed. Reference is made to other authors who have shown that the most constructive elements in Popper's ideas have been advocated by earlier philosophers and have been used in epidemiology without abandoning inductive reasoning. It is argued that Popper's denigration of inductive methods is particularly harmful to epidemiology. Inductive reasoning and statistical inference play a key role in the science; it is suggested that unfamiliarity with these ideas contributes to widespread misunderstanding of the function of epidemiology. Attention is drawn to a common fallacy involving correlations between three random variables. The prevalence of the fallacy may be related to confusion between deductive and inductive logic.,eng,0.744226882932195
1246436,M1084558,Epidemiology.,,eng,0.744226882932195
1207165,M1045158,Epidemiology--what it's all about.,,eng,0.744226882932195
958364,M792817,Computer-taught epidemiology.,,eng,0.744226882932195
873805,M698742,What is epidemiology?,,eng,0.744226882932195
484163,M304156,Epidemiology.,,eng,0.744226882932195
